num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.620435,0.147236,0.500000,0.000000
10,15,0.424432,0.319711,0.560000,0.380876
8,33,0.388867,0.245792,0.175758,0.578415
11,2,0.317530,0.115060,0.000000,0.800000
9,8,0.307926,0.125918,0.787500,0.033072
7,46,0.252480,0.224406,0.380435,0.497655
5,470,0.138281,0.199244,0.355745,0.456722
3,3358,0.133932,0.229729,0.301608,0.459966
6,235,0.124802,0.180440,0.214894,0.521201
2,6349,0.117675,0.239681,0.312947,0.461822
4,1557,0.104355,0.182414,0.270546,0.468577
1,13844,0.008975,0.022582,0.336914,0.507580
