cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,89,1,17,30.0,33
1,6,474,1,44,11.0,36
2,2,1177,0,409,3.0,43
3,1,12,0,10,12.0,29
4,5,1844,1,1554,17.0,57
5,0,11,0,3,,5
6,3,365,46,143,33.0,41
7,0,9,0,5,,22
8,0,11,0,1,,13
9,123,115,1,50,41.0,30
10,11,937,1,818,6.0,50
11,0,10,0,2,,27
12,0,5,0,3,,25
13,1,14,12,2,24.0,7
14,0,25,0,13,,14
15,1,486,0,39,9.0,45
16,0,55,1,34,15.0,34
17,11,1087,3,309,14.0,47
18,0,14,0,1,,28
19,2,9,0,9,34.0,20
20,1,24,0,9,5.0,19
21,1,9,0,6,36.0,9
22,1,262,2,15,23.0,48
23,1,45,0,30,31.0,26
24,0,87,0,9,,37
25,2,24,1,4,22.0,2
26,3,12,0,0,19.0,10
27,0,38,0,1,,31
28,0,31,0,4,,16
29,2,173,0,30,7.0,24
30,4,3,0,5,27.0,23
31,0,19,1,2,26.0,18
32,196,376,6,288,40.0,44
33,2,142,0,9,29.0,32
34,19,2312,4,215,18.0,51
35,0,22,0,0,,58
36,2,22,1,3,4.0,6
37,1,399,2,11,20.0,49
38,2,43,1,45,10.0,15
39,711,10,1,0,43.0,21
40,3,294,1,6,16.0,46
41,0,4,0,0,,1
42,0,33,0,66,,35
43,1,11,0,6,32.0,4
44,0,10,0,3,,56
45,2,11,0,0,8.0,11
46,1,64,0,2,1.0,42
47,5,85,0,14,13.0,38
48,104,224,0,2,38.0,55
49,0,10,0,7,,3
50,69,1540,0,4,39.0,60
51,1,645,0,34,2.0,39
52,0,8,0,447,,59
53,82,1810,5,2272,25.0,53
54,3,86,0,0,21.0,54
55,7,47,29,13,35.0,8
56,0,3,0,0,,17
57,3,21,0,3,37.0,12
58,1,56,0,4,28.0,52
59,368,996,1,239,42.0,40
