cluster_id,positive_samples,negative_samples,total_samples,positive_percentage,negative_percentage,enrichment_ratio
30,10,2,12,14.705882352941178,1.639344262295082,8.970588235294118
54,8,6,14,11.76470588235294,4.918032786885246,2.392156862745098
12,9,8,17,13.23529411764706,6.557377049180328,2.0183823529411766
8,16,15,31,23.52941176470588,12.295081967213115,1.9137254901960783
46,33,32,65,48.529411764705884,26.229508196721312,1.8501838235294117
5,19,19,38,27.941176470588236,15.573770491803279,1.7941176470588236
13,27,27,54,39.705882352941174,22.131147540983605,1.7941176470588236
43,16,17,33,23.52941176470588,13.934426229508196,1.6885813148788926
24,26,28,54,38.23529411764706,22.950819672131146,1.665966386554622
39,27,30,57,39.705882352941174,24.59016393442623,1.614705882352941
28,29,34,63,42.64705882352941,27.86885245901639,1.5302768166089966
25,37,45,82,54.41176470588235,36.885245901639344,1.4751633986928103
19,18,22,40,26.47058823529412,18.0327868852459,1.467914438502674
7,19,24,43,27.941176470588236,19.672131147540984,1.420343137254902
22,38,50,88,55.88235294117647,40.98360655737705,1.3635294117647059
55,35,47,82,51.470588235294116,38.52459016393443,1.3360450563204005
20,29,39,68,42.64705882352941,31.967213114754102,1.3340874811463046
16,22,30,52,32.35294117647059,24.59016393442623,1.315686274509804
23,44,61,105,64.70588235294117,50.0,1.2941176470588234
38,41,58,99,60.29411764705882,47.540983606557376,1.2682555780933062
10,59,84,143,86.76470588235294,68.85245901639344,1.26015406162465
48,16,23,39,23.52941176470588,18.852459016393443,1.248081841432225
47,40,60,100,58.82352941176471,49.18032786885246,1.1960784313725492
36,36,54,90,52.94117647058824,44.26229508196721,1.1960784313725492
14,19,29,48,27.941176470588236,23.770491803278688,1.1754563894523327
37,49,77,126,72.05882352941177,63.114754098360656,1.1417112299465242
40,41,65,106,60.29411764705882,53.278688524590166,1.1316742081447964
34,57,91,148,83.82352941176471,74.59016393442623,1.1237879767291532
50,25,40,65,36.76470588235294,32.78688524590164,1.1213235294117647
9,60,100,160,88.23529411764706,81.9672131147541,1.076470588235294
31,34,57,91,50.0,46.72131147540984,1.070175438596491
59,44,74,118,64.70588235294117,60.65573770491803,1.066772655007949
0,42,72,114,61.76470588235294,59.01639344262295,1.0465686274509804
53,64,110,174,94.11764705882352,90.1639344262295,1.0438502673796792
32,60,104,164,88.23529411764706,85.24590163934425,1.0350678733031675
21,19,33,52,27.941176470588236,27.049180327868854,1.0329768270944741
1,47,82,129,69.11764705882352,67.21311475409836,1.028335724533716
56,4,7,11,5.88235294117647,5.737704918032787,1.0252100840336134
58,18,32,50,26.47058823529412,26.229508196721312,1.0091911764705883
17,67,121,188,98.52941176470588,99.18032786885246,0.9934370442391833
18,20,37,57,29.411764705882355,30.327868852459016,0.9697933227344993
44,29,54,83,42.64705882352941,44.26229508196721,0.9635076252723312
29,38,72,110,55.88235294117647,59.01639344262295,0.9468954248366014
4,52,99,151,76.47058823529412,81.14754098360656,0.9423648247177658
33,36,69,105,52.94117647058824,56.557377049180324,0.9360613810741689
49,12,23,35,17.647058823529413,18.852459016393443,0.9360613810741688
11,14,27,41,20.588235294117645,22.131147540983605,0.9302832244008714
2,51,99,150,75.0,81.14754098360656,0.9242424242424242
42,23,45,68,33.82352941176471,36.885245901639344,0.9169934640522877
35,3,6,9,4.411764705882353,4.918032786885246,0.8970588235294118
45,7,14,21,10.294117647058822,11.475409836065573,0.8970588235294117
41,4,8,12,5.88235294117647,6.557377049180328,0.8970588235294117
27,7,14,21,10.294117647058822,11.475409836065573,0.8970588235294117
57,21,43,64,30.88235294117647,35.24590163934426,0.8761969904240766
51,37,77,114,54.41176470588235,63.114754098360656,0.8621084797555385
15,36,78,114,52.94117647058824,63.934426229508205,0.8280542986425339
6,39,85,124,57.35294117647059,69.67213114754098,0.8231833910034603
3,17,40,57,25.0,32.78688524590164,0.7625000000000001
52,10,25,35,14.705882352941178,20.491803278688526,0.7176470588235294
26,12,31,43,17.647058823529413,25.40983606557377,0.6944971537001898
