ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.861146,0.196369,0.200000,0.326599,2.583438,0.860510
TROW,8,0.820539,0.243244,0.400000,0.287228,6.564311,0.818922
APH,2,0.807191,0.192809,0.400000,0.300000,1.614382,0.806793
GL,5,0.800000,0.244967,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.781810,0.221009,0.425000,0.129904,3.127240,0.781040
ZBRA,3,0.777350,0.159356,0.733333,0.047140,2.332050,0.776776
ROP,2,0.766504,0.233496,0.200000,0.700000,1.533008,0.766126
MKTX,7,0.756246,0.227046,0.257143,0.159079,5.293724,0.754943
AZO,3,0.752233,0.175275,0.000000,0.355903,2.256699,0.751677
LOW,6,0.743567,0.217354,0.200000,0.374166,4.461402,0.742468
AKAM,17,0.738992,0.249249,0.276471,0.338734,12.562871,0.735899
MSI,2,0.714313,0.051705,-0.050000,0.650000,1.428626,0.713961
PRU,13,0.702094,0.201233,0.415385,0.367625,9.127225,0.699847
KMX,3,0.692442,0.217477,-0.433333,0.659966,2.077326,0.691931
INTU,19,0.686335,0.230986,0.207895,0.478557,13.040360,0.683124
IT,15,0.664588,0.280683,0.073333,0.490533,9.968822,0.662133
ORLY,2,0.631737,0.104789,0.300000,0.200000,1.263474,0.631426
TJX,6,0.622754,0.302499,0.333333,0.402768,3.736526,0.621834
TPR,4,0.616502,0.119186,0.550000,0.229129,2.466010,0.615895
FI,3,0.611476,0.284842,0.066667,0.188562,1.834428,0.611024
ADSK,18,0.601400,0.262381,0.338889,0.521897,10.825194,0.598734
STX,4,0.574306,0.267946,0.450000,0.229129,2.297224,0.573740
BKNG,32,0.567298,0.336995,0.315625,0.481605,18.153550,0.562828
MCO,17,0.564554,0.261935,0.405882,0.363756,9.597418,0.562191
NTAP,11,0.558171,0.270112,0.490909,0.435795,6.139876,0.556659
POOL,2,0.535726,0.006461,0.800000,0.000000,1.071452,0.535462
ANSS,16,0.531954,0.348410,0.593750,0.349050,8.511269,0.529858
SPGI,7,0.517262,0.219150,0.471429,0.376883,3.620836,0.516371
