num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.652549,0.132164,0.500000,0.000000
10,15,0.425731,0.318954,0.560000,0.380876
8,33,0.377361,0.239567,0.175758,0.578415
11,2,0.315057,0.114548,0.000000,0.800000
9,8,0.303999,0.120497,0.787500,0.033072
7,46,0.249126,0.220245,0.380435,0.497655
5,470,0.138708,0.199965,0.355745,0.456722
3,3358,0.134008,0.229416,0.301608,0.459966
6,235,0.124870,0.181415,0.214894,0.521201
2,6349,0.117521,0.239551,0.312947,0.461822
4,1557,0.104515,0.183265,0.270546,0.468577
1,13844,0.008895,0.022393,0.336914,0.507580
