cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,83,0,16,34.0,31
1,6,519,4,45,3.0,38
2,359,1155,9,54,43.0,43
3,1,12,1,10,16.0,29
4,1216,1791,6,344,49.0,54
5,1,10,1,2,28.0,4
6,4,336,51,142,27.0,41
7,1,7,0,4,8.0,25
8,0,9,0,1,,11
9,128,109,3,44,47.0,30
10,19,773,161,809,41.0,51
11,0,10,0,2,,27
12,0,4,0,2,,21
13,2,13,14,1,20.0,12
14,3,24,0,10,37.0,14
15,4,482,1,37,14.0,47
16,0,57,1,33,13.0,34
17,20,1132,31,300,22.0,49
18,0,14,0,1,,28
19,3,8,0,9,36.0,18
20,3,22,0,10,17.0,19
21,1,6,0,6,39.0,5
22,3,261,2,13,6.0,52
23,2,43,1,28,32.0,26
24,3,85,1,6,30.0,36
25,4,23,2,3,23.0,2
26,3,7,3,0,10.0,9
27,0,38,0,1,,32
28,0,32,0,5,,17
29,3,149,4,27,7.0,24
30,4,3,0,5,33.0,23
31,1,16,3,1,29.0,15
32,210,381,8,274,42.0,45
33,2,144,1,8,35.0,33
34,31,2301,14,185,12.0,53
35,0,1,21,0,46.0,60
36,2,21,2,4,4.0,7
37,2,401,2,10,9.0,50
38,38,41,1,23,31.0,10
39,711,11,0,0,50.0,22
40,6,294,3,4,18.0,48
41,0,4,0,0,,1
42,0,32,1,66,26.0,35
43,4,7,4,3,11.0,13
44,0,10,0,3,,57
45,2,7,1,0,5.0,8
46,2,62,2,2,1.0,46
47,5,84,5,13,15.0,37
48,104,53,171,2,48.0,39
49,2,10,0,5,25.0,3
50,71,1545,0,2,44.0,59
51,3,640,3,29,2.0,40
52,0,7,0,447,,58
53,114,1829,14,2243,21.0,55
54,3,85,1,0,19.0,56
55,10,42,31,8,24.0,6
56,0,4,0,0,,20
57,3,20,0,4,40.0,16
58,2,28,0,2,38.0,44
59,374,998,3,234,45.0,42
