cluster_id,positive_samples,negative_samples,total_samples,positive_percentage,negative_percentage,enrichment_ratio
30,10,2,12,12.048192771084338,1.8691588785046727,6.445783132530122
5,25,13,38,30.120481927710845,12.149532710280374,2.479147358665431
54,9,5,14,10.843373493975903,4.672897196261682,2.3204819277108433
12,10,7,17,12.048192771084338,6.5420560747663545,1.8416523235800346
28,37,26,63,44.57831325301205,24.299065420560748,1.8345690454124188
46,38,27,65,45.78313253012048,25.233644859813083,1.814368585452923
39,33,24,57,39.75903614457831,22.429906542056074,1.7725903614457832
24,30,24,54,36.144578313253014,22.429906542056074,1.6114457831325302
25,45,37,82,54.21686746987952,34.57943925233645,1.5678931943992185
43,18,15,33,21.686746987951807,14.018691588785046,1.546987951807229
13,29,25,54,34.93975903614458,23.364485981308412,1.4954216867469878
20,36,32,68,43.373493975903614,29.906542056074763,1.4503012048192774
19,21,19,40,25.301204819277107,17.75700934579439,1.424857324032974
45,11,10,21,13.253012048192772,9.345794392523365,1.4180722891566266
22,46,42,88,55.42168674698795,39.25233644859813,1.4119334480780266
8,16,15,31,19.27710843373494,14.018691588785046,1.3751004016064259
23,54,51,105,65.06024096385542,47.66355140186916,1.3649893692416726
49,18,17,35,21.686746987951807,15.887850467289718,1.3649893692416726
55,42,40,82,50.602409638554214,37.38317757009346,1.3536144578313252
38,50,49,99,60.24096385542169,45.794392523364486,1.3154659454143103
16,26,26,52,31.32530120481928,24.299065420560748,1.2891566265060241
48,19,20,39,22.89156626506024,18.69158878504673,1.2246987951807229
21,25,27,52,30.120481927710845,25.233644859813083,1.1936635430611335
10,68,75,143,81.92771084337349,70.09345794392523,1.1688353413654617
34,70,78,148,84.33734939759037,72.89719626168224,1.156935434043868
40,50,56,106,60.24096385542169,52.336448598130836,1.1510327022375217
47,47,53,100,56.62650602409639,49.532710280373834,1.1432143669015686
9,75,85,160,90.36144578313254,79.43925233644859,1.1374911410347273
37,59,67,126,71.08433734939759,62.616822429906534,1.135227477072469
59,55,63,118,66.26506024096386,58.87850467289719,1.1254541977433545
7,20,23,43,24.096385542168676,21.49532710280374,1.1210057621791514
31,42,49,91,50.602409638554214,45.794392523364486,1.1049913941480205
53,80,94,174,96.3855421686747,87.85046728971963,1.0971545757498078
14,22,26,48,26.506024096385545,24.299065420560748,1.0908248378127898
1,59,70,129,71.08433734939759,65.42056074766354,1.0865748709122203
0,51,63,114,61.44578313253012,58.87850467289719,1.0436029833620195
50,29,36,65,34.93975903614458,33.64485981308411,1.0384872824631861
29,49,61,110,59.036144578313255,57.009345794392516,1.035552044242544
35,4,5,9,4.819277108433735,4.672897196261682,1.0313253012048194
26,19,24,43,22.89156626506024,22.429906542056074,1.020582329317269
58,22,28,50,26.506024096385545,26.168224299065418,1.0129087779690191
32,72,92,164,86.74698795180723,85.98130841121495,1.0089051859612361
11,18,23,41,21.686746987951807,21.49532710280374,1.0089051859612361
57,28,36,64,33.734939759036145,33.64485981308411,1.002677376171352
17,82,106,188,98.79518072289156,99.06542056074767,0.9972721072971128
36,39,51,90,46.98795180722892,47.66355140186916,0.9858256555634303
27,9,12,21,10.843373493975903,11.214953271028037,0.9668674698795181
42,29,39,68,34.93975903614458,36.44859813084112,0.9586036453506334
44,35,48,83,42.168674698795186,44.85981308411215,0.9400100401606427
18,24,33,57,28.915662650602407,30.8411214953271,0.9375684556407448
2,63,87,150,75.90361445783132,81.30841121495327,0.9335272122974657
4,63,88,151,75.90361445783132,82.2429906542056,0.9229189485213583
41,5,7,12,6.024096385542169,6.5420560747663545,0.9208261617900173
51,47,67,114,56.62650602409639,62.616822429906534,0.9043337529221366
33,43,62,105,51.80722891566265,57.943925233644855,0.8940924990283716
15,46,68,114,55.42168674698795,63.55140186915887,0.8720765414599575
6,48,76,124,57.831325301204814,71.02803738317756,0.8142041851616995
3,21,36,57,25.301204819277107,33.64485981308411,0.7520080321285141
56,4,7,11,4.819277108433735,6.5420560747663545,0.7366609294320139
52,12,23,35,14.457831325301203,21.49532710280374,0.6726034573074907
