cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,93,0,19,,32
1,4,470,3,48,2.0,36
2,16,1170,9,393,12.0,44
3,0,12,1,10,18.0,27
4,107,1792,2,1454,43.0,56
5,1,10,1,2,28.0,6
6,4,400,4,140,1.0,41
7,0,8,0,5,,23
8,0,10,0,1,,11
9,130,119,3,47,47.0,31
10,16,771,160,811,42.0,51
11,0,9,0,2,,26
12,0,5,0,2,,24
13,1,10,13,2,19.0,3
14,3,25,0,10,35.0,13
15,7,482,1,33,22.0,47
16,1,56,1,33,16.0,33
17,19,1065,28,303,24.0,48
18,0,16,0,1,,29
19,2,8,1,8,34.0,18
20,1,28,0,10,33.0,20
21,1,8,0,6,37.0,9
22,3,261,2,13,6.0,52
23,3,94,1,26,29.0,40
24,3,88,1,7,27.0,37
25,3,23,3,3,21.0,2
26,3,10,3,0,9.0,15
27,0,38,0,1,,28
28,1,30,0,6,25.0,17
29,0,163,4,31,10.0,25
30,4,3,0,5,30.0,21
31,0,18,2,3,40.0,16
32,202,385,4,282,46.0,43
33,3,141,0,8,39.0,30
34,23,2304,9,210,13.0,53
35,0,1,21,0,45.0,60
36,2,20,5,4,7.0,8
37,4,400,1,10,17.0,50
38,37,46,1,11,41.0,7
39,711,10,0,0,49.0,19
40,5,292,3,4,14.0,49
41,0,4,0,0,,1
42,0,34,1,66,26.0,34
43,4,6,4,3,11.0,10
44,0,9,0,3,,57
45,2,10,1,0,5.0,14
46,3,60,2,1,4.0,46
47,2,84,2,15,8.0,35
48,104,52,171,2,48.0,38
49,1,10,0,6,50.0,4
50,70,1542,0,3,44.0,59
51,0,637,3,32,20.0,39
52,0,7,0,447,,58
53,96,1842,9,2258,23.0,54
54,3,85,1,0,15.0,55
55,7,40,33,11,31.0,5
56,0,4,1,0,32.0,22
57,3,20,0,3,38.0,12
58,2,29,0,2,36.0,42
59,9,995,3,596,3.0,45
