num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.640179,0.134997,0.500000,0.000000
10,15,0.424752,0.318175,0.560000,0.380876
8,33,0.382302,0.240737,0.175758,0.578415
11,2,0.322085,0.109568,0.000000,0.800000
9,8,0.288606,0.128200,0.787500,0.033072
7,46,0.249389,0.219456,0.380435,0.497655
5,470,0.138363,0.199218,0.355745,0.456722
3,3358,0.134157,0.229708,0.301608,0.459966
6,235,0.125223,0.181212,0.214894,0.521201
2,6349,0.117397,0.239614,0.312947,0.461822
4,1557,0.104539,0.182672,0.270546,0.468577
1,13844,0.008975,0.022601,0.336914,0.507580
