ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
LRCX,126,0.173155,0.224817,0.417063,0.538780,21.817572,0.167783
PHM,21,0.172860,0.263196,0.057143,0.636637,3.630050,0.171966
AON,91,0.172214,0.286022,0.295604,0.429646,15.671443,0.168355
GRMN,64,0.171274,0.237929,0.503906,0.459475,10.961540,0.168575
CDNS,122,0.166735,0.243832,0.640164,0.255965,20.341653,0.161726
AMP,17,0.166554,0.153367,0.264706,0.237490,2.831416,0.165857
MU,127,0.165088,0.192728,0.169685,0.567810,20.966197,0.159925
MET,218,0.156659,0.259467,0.304128,0.501494,34.151617,0.148249
FTNT,82,0.150215,0.241940,0.521951,0.350618,12.317617,0.147182
ORCL,439,0.149313,0.219044,0.313098,0.439966,65.548541,0.133172
CSCO,438,0.149055,0.226435,0.230799,0.419863,65.286282,0.132979
WYNN,37,0.147669,0.187179,0.297297,0.617531,5.463763,0.146324
CBOE,107,0.143345,0.276635,0.122430,0.533251,15.337894,0.139568
LVS,21,0.141135,0.110158,0.430952,0.596114,2.963826,0.140405
KEY,215,0.139231,0.263426,-0.032093,0.589791,29.934680,0.131860
IBM,658,0.137531,0.193305,0.173009,0.469716,90.495346,0.115247
ACN,624,0.132631,0.253823,0.401042,0.437837,82.761783,0.112251
CME,164,0.130921,0.255352,0.364634,0.361525,21.471016,0.125634
FIS,67,0.126013,0.231067,0.086567,0.551496,8.442871,0.123934
HPQ,528,0.122837,0.234011,0.253409,0.520442,64.858006,0.106866
DPZ,362,0.120872,0.239831,0.418508,0.410400,43.755749,0.110098
GLW,116,0.119541,0.249994,0.491379,0.407752,13.866807,0.116127
AFL,117,0.118373,0.237972,0.359402,0.396455,13.849600,0.114962
CRM,526,0.117807,0.177389,0.313593,0.460751,61.966282,0.102548
QCOM,451,0.117606,0.157194,0.243459,0.511483,53.040468,0.104545
AMAT,414,0.116544,0.225436,0.509058,0.425369,48.249316,0.104663
BX,310,0.113145,0.222185,0.372258,0.407911,35.074863,0.104508
MS,651,0.113100,0.208983,0.213978,0.472074,73.627959,0.094969
CCL,111,0.112401,0.233153,0.296396,0.641216,12.476510,0.109329
GS,1136,0.107408,0.196523,0.277685,0.476463,122.015456,0.077362
PGR,64,0.106658,0.153717,-0.062500,0.580275,6.826106,0.104977
MCD,378,0.105885,0.165189,0.251058,0.431806,40.024629,0.096029
DHI,104,0.105531,0.231743,0.449038,0.480984,10.975255,0.102829
CMG,456,0.104528,0.215148,0.261491,0.518852,47.664954,0.092791
BRO,129,0.098733,0.207685,0.664729,0.231393,12.736615,0.095597
WFC,1217,0.096857,0.217641,0.143632,0.492034,117.875421,0.067831
ADBE,1067,0.096567,0.202794,0.482259,0.418943,103.037059,0.071195
FSLR,209,0.094268,0.225912,0.509091,0.430604,19.702082,0.089417
ACGL,264,0.093870,0.231462,0.667992,0.248572,24.781655,0.087768
F,406,0.092930,0.207778,-0.034483,0.512629,37.729403,0.083639
DRI,172,0.089381,0.195350,0.400581,0.442837,15.373577,0.085596
BEN,88,0.089340,0.210258,0.211364,0.420884,7.861897,0.087404
APTV,113,0.086881,0.200532,0.565487,0.344558,9.817607,0.084464
NVR,36,0.086457,0.223841,0.536111,0.354458,3.112451,0.085691
TSLA,1022,0.083030,0.173643,0.176370,0.541386,84.856945,0.062135
JPM,1830,0.082763,0.182609,0.210137,0.493280,151.456633,0.045468
BAC,1490,0.081966,0.179259,0.223087,0.476055,122.129920,0.051893
MGM,217,0.081359,0.193644,0.338018,0.525299,17.654888,0.077012
LEN,128,0.079101,0.209952,0.416406,0.487464,10.124992,0.076608
HAS,242,0.078315,0.209612,0.021074,0.576117,18.952245,0.073648
KKR,290,0.078006,0.194292,0.335172,0.417304,22.621834,0.072436
EBAY,628,0.074513,0.176610,0.211290,0.471169,46.793996,0.062990
GM,596,0.071231,0.167985,0.036661,0.549522,42.453646,0.060777
RCL,46,0.068934,0.111271,0.397826,0.585509,3.170974,0.068153
C,1560,0.068919,0.169062,0.179936,0.476272,107.513190,0.042444
MSFT,3688,0.065680,0.153371,0.399902,0.415837,242.226759,0.006033
INTC,2035,0.063066,0.157329,0.143317,0.521020,128.338609,0.031463
AAPL,4061,0.061246,0.151973,0.372051,0.450511,248.718722,0.000000
AMZN,3242,0.055640,0.143503,0.380783,0.436098,180.383497,0.011221
NVDA,3130,0.052011,0.134299,0.420990,0.452939,162.794260,0.011924
AMD,3202,0.043167,0.127646,0.331621,0.478792,138.220529,0.009131
