num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.654273,0.125502,0.500000,0.000000
10,15,0.442744,0.314291,0.560000,0.380876
8,33,0.383212,0.238033,0.175758,0.578415
11,2,0.316998,0.121079,0.000000,0.800000
9,8,0.298729,0.123947,0.787500,0.033072
7,46,0.257262,0.225051,0.380435,0.497655
5,470,0.139149,0.200837,0.355745,0.456722
3,3358,0.133664,0.229231,0.301608,0.459966
6,235,0.126031,0.183136,0.214894,0.521201
2,6349,0.117112,0.239639,0.312947,0.461822
4,1557,0.104613,0.183342,0.270546,0.468577
1,13844,0.008810,0.022208,0.336914,0.507580
