ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.859694,0.198423,0.200000,0.326599,2.579081,0.859059
TROW,8,0.827352,0.234412,0.400000,0.287228,6.618817,0.825722
APH,2,0.808710,0.191290,0.400000,0.300000,1.617421,0.808312
GL,5,0.800000,0.244963,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.785143,0.217706,0.425000,0.129904,3.140574,0.784370
ZBRA,3,0.768987,0.166485,0.733333,0.047140,2.306962,0.768419
ROP,2,0.763683,0.236317,0.200000,0.700000,1.527365,0.763306
MKTX,7,0.756176,0.227498,0.257143,0.159079,5.293232,0.754873
LOW,6,0.751650,0.212777,0.200000,0.374166,4.509900,0.750539
AKAM,17,0.737945,0.250543,0.276471,0.338734,12.545066,0.734856
AZO,3,0.737885,0.185454,0.000000,0.355903,2.213656,0.737340
MSI,2,0.707256,0.060905,-0.050000,0.650000,1.414512,0.706908
PRU,13,0.700892,0.202110,0.415385,0.367625,9.111597,0.698648
KMX,3,0.694176,0.216251,-0.433333,0.659966,2.082527,0.693663
INTU,19,0.686760,0.230704,0.207895,0.478557,13.048438,0.683547
IT,15,0.666052,0.279715,0.073333,0.490533,9.990778,0.663592
ORLY,2,0.636774,0.089679,0.300000,0.200000,1.273547,0.636460
TPR,4,0.623653,0.124641,0.550000,0.229129,2.494611,0.623039
TJX,6,0.621075,0.302044,0.333333,0.402768,3.726453,0.620158
FI,3,0.617479,0.292026,0.066667,0.188562,1.852438,0.617023
ADSK,18,0.600316,0.262131,0.338889,0.521897,10.805697,0.597656
STX,4,0.579076,0.264097,0.450000,0.229129,2.316304,0.578506
BKNG,32,0.563102,0.338434,0.315625,0.481605,18.019263,0.558665
MCO,17,0.562079,0.265076,0.405882,0.363756,9.555347,0.559726
NTAP,11,0.552125,0.278216,0.490909,0.435795,6.073379,0.550630
ANSS,16,0.528460,0.350748,0.593750,0.349050,8.455367,0.526378
POOL,2,0.526017,0.001353,0.800000,0.000000,1.052035,0.525758
SPGI,7,0.516612,0.219094,0.471429,0.376883,3.616283,0.515721
