cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,73,0,19,,26
1,6,520,4,45,2.0,37
2,358,1172,6,53,40.0,43
3,1,11,1,9,13.0,31
4,1215,1791,4,346,46.0,54
5,0,10,0,3,,4
6,4,355,50,140,27.0,42
7,1,8,0,4,8.0,25
8,0,10,0,1,,12
9,128,115,2,44,45.0,29
10,19,778,162,809,38.0,52
11,0,10,0,2,,27
12,0,4,0,3,,24
13,2,13,11,1,16.0,9
14,3,22,0,10,35.0,11
15,7,480,0,36,20.0,47
16,1,58,1,33,21.0,34
17,18,1130,10,308,14.0,49
18,0,15,0,1,,30
19,3,8,0,9,31.0,19
20,3,22,0,10,17.0,20
21,1,5,0,6,34.0,5
22,1,263,1,14,15.0,50
23,1,44,1,28,30.0,23
24,2,83,0,7,24.0,35
25,2,23,1,4,22.0,2
26,2,10,3,0,9.0,15
27,0,38,0,1,,33
28,0,34,0,6,,18
29,3,153,4,29,6.0,22
30,5,4,0,5,32.0,28
31,1,19,1,1,25.0,16
32,209,373,7,275,39.0,46
33,2,141,0,8,37.0,32
34,30,2300,11,202,11.0,53
35,0,1,21,0,42.0,60
36,2,18,4,4,5.0,6
37,2,399,2,10,7.0,51
38,5,44,2,42,12.0,14
39,711,10,1,0,47.0,21
40,6,293,3,4,19.0,48
41,0,4,0,0,,1
42,0,50,1,66,28.0,39
43,1,11,0,7,33.0,7
44,0,37,0,3,,58
45,2,8,1,0,3.0,10
46,2,62,1,1,4.0,44
47,4,83,3,13,10.0,36
48,105,53,172,2,43.0,38
49,2,10,0,5,26.0,3
50,71,1544,0,1,41.0,59
51,4,642,3,27,1.0,40
52,0,6,0,447,,57
53,110,1793,15,2245,23.0,55
54,3,85,1,0,18.0,56
55,7,41,32,8,29.0,8
56,0,3,0,0,,17
57,3,20,0,4,36.0,13
58,0,27,0,4,,45
59,371,1000,1,234,44.0,41
