num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.631398,0.145084,0.500000,0.000000
10,15,0.429360,0.319834,0.560000,0.380876
8,33,0.382528,0.243520,0.175758,0.578415
11,2,0.320406,0.106204,0.000000,0.800000
9,8,0.290255,0.122660,0.787500,0.033072
7,46,0.252145,0.220856,0.380435,0.497655
5,470,0.137497,0.198942,0.355745,0.456722
3,3358,0.134043,0.229475,0.301608,0.459966
6,235,0.123642,0.180055,0.214894,0.521201
2,6349,0.118058,0.239877,0.312947,0.461822
4,1557,0.103826,0.182001,0.270546,0.468577
1,13844,0.009058,0.022813,0.336914,0.507580
