cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,60,0,14,38.0,23
1,6,474,1,44,6.0,35
2,358,1173,5,55,44.0,43
3,1,13,0,9,7.0,28
4,1209,1786,1,345,48.0,54
5,0,11,0,3,,5
6,4,359,49,140,31.0,42
7,2,7,0,3,10.0,27
8,0,10,0,1,,12
9,132,114,3,48,47.0,29
10,19,931,4,809,8.0,52
11,0,8,0,2,,24
12,2,2,0,2,28.0,20
13,2,12,7,1,15.0,10
14,3,28,0,10,37.0,14
15,7,480,0,34,21.0,47
16,0,57,1,33,16.0,33
17,27,1176,13,305,19.0,50
18,0,17,0,1,,30
19,3,7,0,9,41.0,19
20,2,24,0,9,14.0,22
21,1,6,0,6,39.0,4
22,1,264,2,14,23.0,49
23,2,90,1,28,32.0,39
24,1,87,0,6,22.0,36
25,3,24,2,4,26.0,2
26,3,8,3,0,13.0,11
27,0,38,0,1,,31
28,1,29,0,5,36.0,15
29,5,167,3,26,4.0,26
30,4,3,0,5,34.0,25
31,1,18,1,2,25.0,18
32,207,382,7,274,42.0,46
33,3,139,1,7,35.0,32
34,109,2309,5,125,29.0,53
35,0,1,1,0,3.0,60
36,2,27,1,3,1.0,9
37,3,397,2,9,11.0,51
38,5,43,1,42,12.0,16
39,711,10,1,0,49.0,21
40,6,291,2,4,18.0,48
41,0,3,0,0,,1
42,0,32,1,66,30.0,34
43,0,11,0,7,,8
44,0,9,0,3,,57
45,2,9,0,0,5.0,6
46,3,59,1,1,9.0,44
47,5,84,4,13,17.0,37
48,103,53,171,1,46.0,38
49,3,10,0,4,27.0,3
50,71,1542,0,1,43.0,59
51,4,645,2,29,2.0,40
52,0,6,0,447,,58
53,113,1799,10,2243,24.0,55
54,3,85,1,0,20.0,56
55,10,42,52,7,33.0,7
56,0,3,0,0,,17
57,3,22,0,3,40.0,13
58,0,28,0,4,,45
59,372,998,1,233,45.0,41
