ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860256,0.197628,0.200000,0.326599,2.580768,0.859620
TROW,8,0.821526,0.239917,0.400000,0.287228,6.572208,0.819908
APH,2,0.811523,0.188477,0.400000,0.300000,1.623046,0.811124
GL,5,0.800000,0.245035,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.787002,0.215350,0.425000,0.129904,3.148007,0.786227
ZBRA,3,0.785551,0.151646,0.733333,0.047140,2.356653,0.784971
ROP,2,0.768305,0.231695,0.200000,0.700000,1.536609,0.767926
MKTX,7,0.756403,0.226712,0.257143,0.159079,5.294818,0.755099
LOW,6,0.745967,0.223139,0.200000,0.374166,4.475802,0.744865
AZO,3,0.740769,0.183412,0.000000,0.355903,2.222306,0.740221
AKAM,17,0.738017,0.250242,0.276471,0.338734,12.546285,0.734927
MSI,2,0.712989,0.034947,-0.050000,0.650000,1.425979,0.712638
KMX,3,0.708050,0.206440,-0.433333,0.659966,2.124151,0.707527
PRU,13,0.702780,0.200712,0.415385,0.367625,9.136144,0.700531
INTU,19,0.683796,0.233327,0.207895,0.478557,12.992133,0.680597
IT,15,0.663640,0.281131,0.073333,0.490533,9.954593,0.661188
ORLY,2,0.631854,0.104437,0.300000,0.200000,1.263709,0.631543
TJX,6,0.622715,0.302579,0.333333,0.402768,3.736291,0.621795
TPR,4,0.622306,0.127610,0.550000,0.229129,2.489222,0.621693
FI,3,0.606325,0.288445,0.066667,0.188562,1.818975,0.605877
ADSK,18,0.601618,0.262367,0.338889,0.521897,10.829124,0.598951
STX,4,0.567494,0.274648,0.450000,0.229129,2.269974,0.566935
BKNG,32,0.564455,0.338293,0.315625,0.481605,18.062555,0.560007
MCO,17,0.563811,0.264101,0.405882,0.363756,9.584782,0.561451
NTAP,11,0.549403,0.275759,0.490909,0.435795,6.043428,0.547914
POOL,2,0.541579,0.006057,0.800000,0.000000,1.083159,0.541313
ANSS,16,0.528905,0.351795,0.593750,0.349050,8.462478,0.526821
SPGI,7,0.518344,0.219472,0.471429,0.376883,3.628411,0.517451
