num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.657076,0.123065,0.500000,0.000000
10,15,0.425403,0.318183,0.560000,0.380876
8,33,0.378477,0.241328,0.175758,0.578415
11,2,0.315764,0.121382,0.000000,0.800000
9,8,0.297735,0.124307,0.787500,0.033072
7,46,0.251916,0.223916,0.380435,0.497655
5,470,0.138287,0.200123,0.355745,0.456722
3,3358,0.134043,0.229693,0.301608,0.459966
6,235,0.123976,0.179931,0.214894,0.521201
2,6349,0.117622,0.239692,0.312947,0.461822
4,1557,0.104459,0.183015,0.270546,0.468577
1,13844,0.008888,0.022380,0.336914,0.507580
