ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.858834,0.199640,0.200000,0.326599,2.576501,0.858199
TROW,8,0.819069,0.244201,0.400000,0.287228,6.552553,0.817456
APH,2,0.813837,0.186163,0.400000,0.300000,1.627674,0.813436
GL,5,0.800000,0.244955,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.774275,0.228083,0.425000,0.129904,3.097100,0.773512
ZBRA,3,0.773519,0.161744,0.733333,0.047140,2.320556,0.772947
ROP,2,0.765034,0.234966,0.200000,0.700000,1.530069,0.764658
MKTX,7,0.755139,0.226257,0.257143,0.159079,5.285976,0.753838
LOW,6,0.746775,0.215578,0.200000,0.374166,4.480651,0.745672
AZO,3,0.740393,0.184007,0.000000,0.355903,2.221178,0.739846
AKAM,17,0.737207,0.251313,0.276471,0.338734,12.532511,0.734120
KMX,3,0.701782,0.210872,-0.433333,0.659966,2.105346,0.701263
PRU,13,0.701545,0.202374,0.415385,0.367625,9.120087,0.699299
MSI,2,0.688055,0.036140,-0.050000,0.650000,1.376110,0.687716
INTU,19,0.685619,0.235536,0.207895,0.478557,13.026761,0.682411
IT,15,0.666021,0.279887,0.073333,0.490533,9.990322,0.663561
ORLY,2,0.633214,0.100357,0.300000,0.200000,1.266429,0.632902
TJX,6,0.622262,0.302503,0.333333,0.402768,3.733571,0.621343
TPR,4,0.614794,0.117454,0.550000,0.229129,2.459177,0.614189
FI,3,0.604419,0.289575,0.066667,0.188562,1.813258,0.603973
ADSK,18,0.602247,0.261649,0.338889,0.521897,10.840438,0.599577
STX,4,0.572088,0.266592,0.450000,0.229129,2.288352,0.571524
BKNG,32,0.567720,0.337075,0.315625,0.481605,18.167041,0.563246
MCO,17,0.564916,0.261178,0.405882,0.363756,9.603579,0.562552
NTAP,11,0.556555,0.275656,0.490909,0.435795,6.122102,0.555047
POOL,2,0.538994,0.011686,0.800000,0.000000,1.077987,0.538728
ANSS,16,0.527738,0.350634,0.593750,0.349050,8.443809,0.525659
SPGI,7,0.514493,0.218885,0.471429,0.376883,3.601452,0.513606
