cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,89,0,18,34.0,31
1,8,488,4,44,4.0,37
2,361,1191,10,49,45.0,43
3,2,10,1,8,16.0,28
4,181,1784,3,1382,43.0,58
5,1,8,1,2,31.0,3
6,4,350,51,139,27.0,42
7,1,8,0,4,7.0,25
8,0,11,0,1,,14
9,129,114,3,42,47.0,30
10,19,777,163,810,41.0,50
11,0,10,0,2,,27
12,0,3,0,3,,21
13,2,13,9,1,20.0,8
14,4,26,0,10,33.0,15
15,11,486,1,35,26.0,46
16,1,58,1,32,21.0,33
17,22,1062,27,293,22.0,48
18,0,16,0,1,,29
19,2,8,0,9,40.0,19
20,5,23,0,8,17.0,20
21,1,9,0,6,39.0,10
22,3,261,3,13,6.0,51
23,2,93,1,28,35.0,39
24,2,86,1,6,28.0,34
25,4,23,3,3,24.0,2
26,3,10,3,1,10.0,18
27,0,16,0,1,,6
28,0,32,0,5,,17
29,8,150,4,23,8.0,23
30,4,4,0,5,36.0,22
31,1,17,3,2,30.0,16
32,216,372,8,269,44.0,45
33,3,143,1,7,29.0,32
34,30,2297,14,202,14.0,53
35,0,1,1,0,1.0,60
36,2,23,5,4,9.0,9
37,1,401,1,10,11.0,49
38,39,44,1,8,32.0,5
39,711,12,1,0,51.0,24
40,6,289,3,4,18.0,47
41,0,4,0,0,,1
42,2,34,1,64,5.0,35
43,4,6,4,3,13.0,11
44,0,10,0,3,,57
45,2,9,1,0,3.0,12
46,3,58,2,1,2.0,44
47,6,88,5,13,15.0,36
48,105,54,171,1,49.0,38
49,2,10,0,5,25.0,4
50,71,1541,0,2,46.0,59
51,3,645,3,30,12.0,40
52,293,7,0,154,50.0,55
53,106,1791,13,2247,23.0,54
54,3,85,1,0,19.0,56
55,6,49,55,10,42.0,7
56,0,6,0,0,,26
57,3,22,0,3,37.0,13
58,2,57,0,2,38.0,52
59,374,1001,4,234,48.0,41
