num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.640855,0.135893,0.500000,0.000000
10,15,0.428389,0.317408,0.560000,0.380876
8,33,0.380881,0.241627,0.175758,0.578415
11,2,0.319541,0.114241,0.000000,0.800000
9,8,0.301534,0.117967,0.787500,0.033072
7,46,0.251846,0.223183,0.380435,0.497655
5,470,0.138121,0.199490,0.355745,0.456722
3,3358,0.134131,0.229581,0.301608,0.459966
6,235,0.124955,0.181175,0.214894,0.521201
2,6349,0.117389,0.239533,0.312947,0.461822
4,1557,0.104763,0.183241,0.270546,0.468577
1,13844,0.008869,0.022343,0.336914,0.507580
