num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.633817,0.137997,0.500000,0.000000
10,15,0.434762,0.317208,0.560000,0.380876
8,33,0.382910,0.235786,0.175758,0.578415
11,2,0.311752,0.116423,0.000000,0.800000
9,8,0.290794,0.113234,0.787500,0.033072
7,46,0.249553,0.222251,0.380435,0.497655
5,470,0.137853,0.199836,0.355745,0.456722
3,3358,0.134006,0.229662,0.301608,0.459966
6,235,0.124574,0.181946,0.214894,0.521201
2,6349,0.117796,0.239710,0.312947,0.461822
4,1557,0.104056,0.182229,0.270546,0.468577
1,13844,0.008989,0.022648,0.336914,0.507580
