cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,87,1,17,39.0,28
1,7,472,4,43,2.0,34
2,360,1172,9,49,46.0,41
3,1,12,1,9,14.0,25
4,112,1780,8,1444,44.0,58
5,1,9,1,2,31.0,4
6,7,361,52,139,28.0,42
7,2,7,0,3,10.0,26
8,0,11,0,1,,14
9,129,110,3,43,49.0,29
10,21,650,294,808,43.0,52
11,0,10,0,2,,24
12,1,5,0,1,19.0,21
13,1,10,14,2,24.0,3
14,4,23,0,9,33.0,12
15,5,483,3,37,27.0,47
16,1,56,2,32,5.0,33
17,28,1075,30,298,21.0,49
18,0,16,0,1,,27
19,3,7,2,9,35.0,19
20,4,23,0,9,15.0,20
21,1,7,0,6,42.0,9
22,3,263,2,13,7.0,51
23,3,91,1,28,36.0,37
24,3,85,1,6,30.0,32
25,3,20,4,3,17.0,2
26,3,10,3,0,11.0,16
27,0,38,0,1,,31
28,0,30,0,5,,17
29,8,151,4,23,6.0,22
30,3,4,0,5,37.0,23
31,1,16,3,2,29.0,15
32,211,377,13,275,45.0,46
33,3,143,1,7,38.0,30
34,111,2283,30,122,26.0,53
35,0,1,21,0,50.0,60
36,2,19,4,3,8.0,7
37,1,400,2,11,16.0,50
38,38,37,4,8,32.0,6
39,711,9,1,0,53.0,43
40,6,288,7,4,22.0,48
41,0,3,0,0,,1
42,1,53,2,65,3.0,39
43,4,8,4,3,12.0,10
44,0,10,0,3,,57
45,2,8,1,0,4.0,11
46,2,56,3,1,1.0,45
47,5,85,4,13,13.0,35
48,103,55,171,2,51.0,36
49,3,11,0,4,25.0,5
50,72,1543,0,1,47.0,59
51,2,633,3,31,9.0,38
52,293,8,0,155,52.0,55
53,110,1817,13,2243,23.0,54
54,3,85,1,0,18.0,56
55,11,43,34,10,34.0,8
56,0,3,1,0,40.0,18
57,3,20,0,4,41.0,13
58,2,28,1,2,20.0,44
59,375,995,4,232,48.0,40
