num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.642967,0.139400,0.500000,0.000000
10,15,0.425824,0.318436,0.560000,0.380876
8,33,0.382097,0.237720,0.175758,0.578415
11,2,0.315809,0.117862,0.000000,0.800000
9,8,0.294135,0.125094,0.787500,0.033072
7,46,0.250315,0.216012,0.380435,0.497655
5,470,0.138071,0.199493,0.355745,0.456722
3,3358,0.134068,0.229599,0.301608,0.459966
6,235,0.125956,0.182607,0.214894,0.521201
2,6349,0.117771,0.239923,0.312947,0.461822
4,1557,0.104577,0.182630,0.270546,0.468577
1,13844,0.008989,0.022631,0.336914,0.507580
