cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,67,0,16,32.0,23
1,7,468,1,45,6.0,35
2,24,1163,9,388,11.0,45
3,2,13,0,8,18.0,28
4,1273,1843,1,287,49.0,54
5,1,9,1,2,29.0,3
6,4,360,49,140,30.0,42
7,0,8,0,5,,20
8,0,11,0,1,,15
9,132,113,4,47,45.0,31
10,19,936,3,811,7.0,52
11,0,9,0,2,,26
12,0,2,0,4,,21
13,3,13,13,0,16.0,13
14,3,25,0,10,40.0,14
15,7,481,1,30,20.0,47
16,2,58,1,32,22.0,33
17,26,1119,33,303,24.0,48
18,0,17,0,1,,29
19,3,7,0,8,38.0,17
20,3,22,0,9,19.0,19
21,1,6,0,6,42.0,5
22,3,261,2,11,4.0,51
23,3,43,1,26,35.0,24
24,1,87,1,8,23.0,36
25,3,23,3,3,25.0,2
26,3,8,3,0,10.0,12
27,0,38,0,1,,32
28,1,32,0,7,28.0,18
29,3,169,3,28,12.0,27
30,4,3,0,5,36.0,25
31,0,43,3,2,33.0,41
32,209,381,6,272,43.0,44
33,3,140,0,6,27.0,30
34,25,2302,9,193,15.0,53
35,0,1,21,0,47.0,60
36,2,22,1,4,1.0,8
37,4,398,2,9,13.0,50
38,38,44,2,23,34.0,10
39,711,11,0,0,50.0,22
40,5,291,2,4,14.0,49
41,0,4,0,0,,1
42,1,32,1,65,31.0,34
43,3,5,4,3,9.0,7
44,0,9,0,3,,57
45,2,10,0,0,5.0,9
46,3,61,2,1,3.0,46
47,5,84,2,13,8.0,37
48,105,52,170,1,48.0,38
49,1,10,0,6,51.0,4
50,70,1545,0,2,44.0,59
51,5,642,2,29,2.0,39
52,0,6,0,447,,58
53,106,1800,12,2247,21.0,55
54,3,85,1,0,17.0,56
55,10,41,31,6,26.0,6
56,0,3,1,0,37.0,16
57,3,18,0,3,41.0,11
58,3,28,0,2,39.0,43
59,372,996,3,232,46.0,40
