num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.638867,0.134296,0.500000,0.000000
10,15,0.431760,0.318202,0.560000,0.380876
8,33,0.379590,0.241368,0.175758,0.578415
11,2,0.320388,0.113877,0.000000,0.800000
9,8,0.283187,0.129869,0.787500,0.033072
7,46,0.249090,0.220168,0.380435,0.497655
5,470,0.137553,0.199334,0.355745,0.456722
3,3358,0.134302,0.229874,0.301608,0.459966
6,235,0.123491,0.179763,0.214894,0.521201
2,6349,0.117886,0.239736,0.312947,0.461822
4,1557,0.104472,0.182384,0.270546,0.468577
1,13844,0.009007,0.022686,0.336914,0.507580
