cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,67,0,16,36.0,25
1,7,474,1,43,7.0,36
2,18,1145,8,396,12.0,44
3,2,12,0,10,16.0,29
4,176,1837,1,1385,46.0,56
5,1,10,1,2,29.0,4
6,6,358,49,140,28.0,42
7,1,7,0,4,8.0,24
8,0,11,0,1,,14
9,130,128,4,47,49.0,34
10,20,936,3,810,6.0,52
11,0,10,0,2,,28
12,1,3,0,1,18.0,20
13,2,12,12,1,21.0,6
14,3,25,0,10,44.0,13
15,6,480,1,29,23.0,47
16,1,56,1,33,20.0,33
17,29,1140,33,293,22.0,49
18,0,15,0,1,,30
19,3,7,0,8,39.0,19
20,4,24,0,9,19.0,22
21,1,6,0,6,42.0,7
22,3,260,2,13,3.0,51
23,1,44,1,27,33.0,26
24,3,88,1,6,30.0,37
25,4,23,2,3,25.0,1
26,3,9,3,0,10.0,12
27,0,38,0,1,,32
28,1,30,0,5,26.0,17
29,4,170,3,28,5.0,27
30,3,3,0,5,38.0,23
31,0,19,4,2,35.0,18
32,209,373,5,274,45.0,45
33,5,140,0,6,32.0,31
34,103,2297,8,128,31.0,53
35,0,1,21,0,50.0,60
36,2,24,1,4,1.0,11
37,1,398,2,10,14.0,50
38,37,44,1,10,37.0,8
39,711,10,1,0,52.0,21
40,6,289,2,4,15.0,48
41,0,4,0,0,,2
42,1,34,1,65,27.0,35
43,4,6,4,3,11.0,10
44,0,9,0,3,,57
45,2,9,0,0,4.0,9
46,3,60,2,1,2.0,46
47,6,88,4,14,13.0,38
48,103,53,171,3,51.0,39
49,2,8,0,5,34.0,3
50,71,1543,0,2,47.0,59
51,2,650,2,32,9.0,40
52,0,6,0,447,,58
53,102,1810,13,2247,24.0,54
54,3,85,1,0,17.0,55
55,11,43,31,9,40.0,5
56,0,3,0,0,,16
57,3,22,0,3,43.0,15
58,1,28,0,2,41.0,43
59,375,994,4,231,48.0,41
