num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.669177,0.112597,0.500000,0.000000
10,15,0.436479,0.319324,0.560000,0.380876
8,33,0.378271,0.241022,0.175758,0.578415
11,2,0.316712,0.117884,0.000000,0.800000
9,8,0.300710,0.131263,0.787500,0.033072
7,46,0.249434,0.218376,0.380435,0.497655
5,470,0.139159,0.200268,0.355745,0.456722
3,3358,0.133782,0.229790,0.301608,0.459966
6,235,0.124999,0.181000,0.214894,0.521201
2,6349,0.117230,0.239709,0.312947,0.461822
4,1557,0.104599,0.182852,0.270546,0.468577
1,13844,0.008879,0.022362,0.336914,0.507580
