ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860047,0.197924,0.200000,0.326599,2.580140,0.859411
TROW,8,0.823478,0.239243,0.400000,0.287228,6.587822,0.821856
APH,2,0.807314,0.192686,0.400000,0.300000,1.614628,0.806916
GL,5,0.800000,0.245070,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.796941,0.205518,0.425000,0.129904,3.187764,0.796156
ZBRA,3,0.773950,0.159953,0.733333,0.047140,2.321849,0.773378
ROP,2,0.768630,0.231370,0.200000,0.700000,1.537261,0.768252
MKTX,7,0.755576,0.227242,0.257143,0.159079,5.289035,0.754274
LOW,6,0.738196,0.222176,0.200000,0.374166,4.429174,0.737105
AZO,3,0.736293,0.186703,0.000000,0.355903,2.208879,0.735749
AKAM,17,0.736269,0.252100,0.276471,0.338734,12.516572,0.733187
MSI,2,0.706502,0.012247,-0.050000,0.650000,1.413005,0.706155
PRU,13,0.703112,0.200200,0.415385,0.367625,9.140462,0.700862
KMX,3,0.701697,0.210933,-0.433333,0.659966,2.105090,0.701178
INTU,19,0.684450,0.232716,0.207895,0.478557,13.004541,0.681247
IT,15,0.664725,0.280634,0.073333,0.490533,9.970880,0.662270
TJX,6,0.629669,0.305529,0.333333,0.402768,3.778016,0.628739
TPR,4,0.619156,0.122091,0.550000,0.229129,2.476623,0.618546
ORLY,2,0.610992,0.167023,0.300000,0.200000,1.221984,0.610691
ADSK,18,0.603493,0.262137,0.338889,0.521897,10.862874,0.600818
FI,3,0.603464,0.291548,0.066667,0.188562,1.810392,0.603018
STX,4,0.572893,0.270126,0.450000,0.229129,2.291573,0.572329
MCO,17,0.564075,0.265532,0.405882,0.363756,9.589276,0.561714
BKNG,32,0.563637,0.336726,0.315625,0.481605,18.036389,0.559196
NTAP,11,0.537676,0.284368,0.490909,0.435795,5.914437,0.536220
ANSS,16,0.530952,0.347881,0.593750,0.349050,8.495232,0.528860
POOL,2,0.530519,0.003602,0.800000,0.000000,1.061038,0.530258
SPGI,7,0.516527,0.219064,0.471429,0.376883,3.615690,0.515637
