cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,89,3,18,13.0,34
1,7,469,4,44,1.0,37
2,358,1134,14,53,45.0,42
3,2,12,1,9,15.0,29
4,175,1865,4,1385,42.0,56
5,1,11,1,2,31.0,5
6,4,362,53,142,29.0,43
7,1,9,0,4,6.0,24
8,0,12,0,1,,15
9,129,111,4,45,48.0,31
10,18,802,163,810,41.0,52
11,0,10,0,2,,26
12,0,5,0,2,,20
13,2,13,14,1,19.0,7
14,3,26,1,10,35.0,13
15,8,483,4,34,30.0,46
16,2,56,1,33,20.0,33
17,27,1052,30,294,21.0,50
18,0,15,0,1,,28
19,3,8,0,9,36.0,18
20,4,25,0,8,17.0,19
21,1,8,0,6,38.0,10
22,3,258,2,13,3.0,51
23,2,45,1,28,33.0,23
24,2,87,1,6,28.0,36
25,3,22,3,3,25.0,2
26,3,10,3,1,7.0,17
27,0,38,0,1,,32
28,0,32,0,5,,16
29,4,168,7,26,10.0,25
30,5,3,0,5,37.0,22
31,1,17,2,1,27.0,14
32,212,371,11,271,43.0,44
33,3,145,0,6,26.0,30
34,30,2273,32,204,12.0,53
35,0,1,21,0,47.0,60
36,2,24,4,3,5.0,9
37,1,364,38,11,44.0,49
38,38,38,4,8,32.0,4
39,711,11,1,0,51.0,21
40,6,290,7,4,18.0,48
41,0,4,0,0,,1
42,1,33,2,65,23.0,35
43,4,5,6,3,11.0,8
44,0,10,0,3,,57
45,2,9,1,0,2.0,11
46,3,62,3,1,4.0,45
47,5,88,3,13,9.0,38
48,104,53,171,1,50.0,39
49,2,10,0,5,24.0,3
50,71,1543,0,2,46.0,59
51,2,636,3,32,8.0,40
52,0,7,0,447,,58
53,105,1784,19,2250,22.0,54
54,3,85,1,0,14.0,55
55,8,42,36,8,34.0,6
56,0,7,1,0,40.0,27
57,3,22,0,3,39.0,12
58,2,26,1,2,16.0,47
59,373,996,5,234,49.0,41
