num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.659572,0.118023,0.500000,0.000000
10,15,0.431248,0.320530,0.560000,0.380876
8,33,0.381653,0.239454,0.175758,0.578415
11,2,0.313533,0.112911,0.000000,0.800000
9,8,0.295252,0.127849,0.787500,0.033072
7,46,0.255425,0.226145,0.380435,0.497655
5,470,0.138105,0.199043,0.355745,0.456722
3,3358,0.134233,0.230007,0.301608,0.459966
6,235,0.124160,0.180289,0.214894,0.521201
2,6349,0.117478,0.239730,0.312947,0.461822
4,1557,0.104210,0.182324,0.270546,0.468577
1,13844,0.008943,0.022521,0.336914,0.507580
