cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,3,84,2,16,21.0,33
1,8,462,5,41,5.0,36
2,366,1114,13,45,47.0,43
3,2,11,1,9,19.0,27
4,1277,1832,4,280,52.0,54
5,1,9,1,2,36.0,3
6,7,355,49,139,30.0,42
7,2,9,0,3,9.0,29
8,0,10,0,1,,12
9,131,118,5,46,49.0,32
10,23,804,164,808,44.0,52
11,0,10,0,2,,26
12,1,2,0,1,20.0,13
13,3,17,14,0,16.0,18
14,4,26,1,9,35.0,15
15,8,482,2,31,22.0,47
16,3,55,2,32,18.0,34
17,33,1143,38,291,23.0,50
18,0,14,0,1,,28
19,2,8,0,9,40.0,20
20,5,21,0,7,15.0,21
21,1,9,0,6,43.0,7
22,3,262,3,13,6.0,51
23,1,44,1,29,34.0,24
24,3,87,2,6,33.0,35
25,4,23,3,3,27.0,2
26,2,7,4,0,11.0,9
27,0,38,0,1,,31
28,1,31,0,5,29.0,17
29,10,163,7,21,7.0,25
30,4,3,0,5,38.0,23
31,1,15,2,3,28.0,16
32,214,377,7,271,46.0,45
33,4,141,1,6,32.0,30
34,110,2289,18,108,26.0,53
35,0,1,1,0,1.0,60
36,2,20,5,3,10.0,6
37,2,363,40,10,45.0,49
38,38,44,3,22,37.0,11
39,711,9,0,0,54.0,19
40,5,291,3,4,14.0,48
41,0,4,0,0,,1
42,2,31,2,64,8.0,38
43,4,3,6,3,13.0,5
44,0,9,0,3,,58
45,2,8,1,0,4.0,10
46,3,60,2,1,2.0,46
47,5,80,3,13,12.0,37
48,105,53,171,3,51.0,39
49,3,11,0,4,25.0,4
50,72,1542,0,1,48.0,59
51,5,644,3,28,3.0,41
52,293,6,0,154,53.0,56
53,111,1784,18,2237,24.0,55
54,3,85,1,0,17.0,57
55,13,42,57,6,31.0,8
56,0,4,1,0,39.0,22
57,3,22,0,3,41.0,14
58,2,28,0,2,42.0,44
59,376,919,78,230,50.0,40
