ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.859493,0.198707,0.200000,0.326599,2.578479,0.858858
TROW,8,0.826317,0.238690,0.400000,0.287228,6.610534,0.824689
APH,2,0.816997,0.183003,0.400000,0.300000,1.633994,0.816595
GL,5,0.800000,0.245006,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.789873,0.212231,0.425000,0.129904,3.159491,0.789095
ZBRA,3,0.787406,0.150623,0.733333,0.047140,2.362217,0.786824
ROP,2,0.771561,0.228439,0.200000,0.700000,1.543121,0.771181
LOW,6,0.755631,0.214093,0.200000,0.374166,4.533787,0.754515
MKTX,7,0.755594,0.227304,0.257143,0.159079,5.289156,0.754291
AZO,3,0.737522,0.185688,0.000000,0.355903,2.212566,0.736977
AKAM,17,0.735479,0.253405,0.276471,0.338734,12.503140,0.732400
MSI,2,0.718521,0.046009,-0.050000,0.650000,1.437042,0.718167
KMX,3,0.701736,0.210905,-0.433333,0.659966,2.105207,0.701217
PRU,13,0.700638,0.201863,0.415385,0.367625,9.108289,0.698395
INTU,19,0.685615,0.232959,0.207895,0.478557,13.026688,0.682407
IT,15,0.665568,0.280112,0.073333,0.490533,9.983519,0.663110
TJX,6,0.630304,0.305889,0.333333,0.402768,3.781824,0.629373
TPR,4,0.618122,0.120120,0.550000,0.229129,2.472487,0.617513
FI,3,0.614005,0.288752,0.066667,0.188562,1.842016,0.613552
ORLY,2,0.609088,0.172736,0.300000,0.200000,1.218176,0.608788
ADSK,18,0.597910,0.263663,0.338889,0.521897,10.762388,0.595260
STX,4,0.582061,0.256929,0.450000,0.229129,2.328245,0.581488
BKNG,32,0.566085,0.335799,0.315625,0.481605,18.114719,0.561624
MCO,17,0.564085,0.263132,0.405882,0.363756,9.589446,0.561724
NTAP,11,0.535249,0.292079,0.490909,0.435795,5.887737,0.533799
POOL,2,0.533131,0.006243,0.800000,0.000000,1.066263,0.532869
ANSS,16,0.530587,0.348047,0.593750,0.349050,8.489387,0.528496
SPGI,7,0.516512,0.219107,0.471429,0.376883,3.615586,0.515622
