num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.646887,0.132021,0.500000,0.000000
10,15,0.429957,0.317373,0.560000,0.380876
8,33,0.383356,0.244871,0.175758,0.578415
11,2,0.314034,0.126678,0.000000,0.800000
9,8,0.291196,0.121119,0.787500,0.033072
7,46,0.252532,0.223648,0.380435,0.497655
5,470,0.138493,0.199996,0.355745,0.456722
3,3358,0.133935,0.229493,0.301608,0.459966
6,235,0.125651,0.182835,0.214894,0.521201
2,6349,0.117144,0.239617,0.312947,0.461822
4,1557,0.104897,0.182870,0.270546,0.468577
1,13844,0.008874,0.022362,0.336914,0.507580
