cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,3,62,2,16,18.0,25
1,7,519,6,44,5.0,38
2,362,1109,15,52,46.0,41
3,2,10,1,8,16.0,28
4,1279,1776,17,281,52.0,54
5,1,9,1,2,29.0,4
6,4,385,49,140,30.0,43
7,2,8,0,3,9.0,33
8,0,11,0,1,,15
9,130,111,4,43,50.0,30
10,19,645,295,809,44.0,51
11,0,9,0,2,,26
12,2,2,0,1,26.0,13
13,3,11,10,0,13.0,10
14,3,24,1,10,36.0,14
15,8,479,2,33,19.0,48
16,1,54,4,32,1.0,39
17,32,1162,42,298,24.0,50
18,0,16,0,1,,31
19,3,8,0,8,41.0,21
20,3,24,2,9,21.0,23
21,1,5,0,6,43.0,5
22,3,261,5,13,3.0,52
23,2,46,1,26,34.0,24
24,1,89,1,8,23.0,35
25,4,22,3,3,15.0,2
26,3,9,3,0,10.0,17
27,0,38,0,1,,29
28,3,31,0,4,35.0,20
29,6,166,7,26,8.0,27
30,5,2,1,5,37.0,22
31,1,17,3,1,31.0,18
32,213,365,10,269,45.0,47
33,3,141,0,6,28.0,32
34,110,2294,20,123,25.0,53
35,0,1,1,0,2.0,60
36,2,19,4,4,7.0,7
37,2,275,128,9,47.0,46
38,39,42,2,8,33.0,6
39,711,8,3,0,53.0,45
40,5,291,2,4,14.0,49
41,0,4,0,0,,1
42,1,32,3,65,22.0,34
43,3,4,6,4,12.0,8
44,0,9,0,3,,57
45,2,8,1,0,4.0,11
46,2,12,49,1,40.0,16
47,4,81,4,13,11.0,36
48,104,52,172,3,51.0,37
49,3,10,0,4,27.0,3
50,71,1544,0,1,49.0,59
51,5,639,6,26,6.0,40
52,0,6,0,447,,58
53,117,1784,24,2240,20.0,55
54,3,85,1,0,17.0,56
55,10,40,53,6,32.0,9
56,0,3,1,0,38.0,19
57,3,20,0,3,42.0,12
58,2,29,0,2,39.0,44
59,373,993,6,230,48.0,42
