ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.864365,0.191817,0.200000,0.326599,2.593095,0.863727
TROW,8,0.819692,0.243605,0.400000,0.287228,6.557535,0.818077
APH,2,0.818145,0.181855,0.400000,0.300000,1.636290,0.817742
GL,5,0.800000,0.245022,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.778681,0.223678,0.425000,0.129904,3.114722,0.777914
ROP,2,0.770288,0.229712,0.200000,0.700000,1.540576,0.769909
ZBRA,3,0.766966,0.165623,0.733333,0.047140,2.300898,0.766399
MKTX,7,0.752124,0.227186,0.257143,0.159079,5.264867,0.750827
LOW,6,0.749314,0.221284,0.200000,0.374166,4.495883,0.748207
AZO,3,0.745348,0.180442,0.000000,0.355903,2.236043,0.744797
AKAM,17,0.740803,0.248416,0.276471,0.338734,12.593652,0.737702
MSI,2,0.712917,0.038622,-0.050000,0.650000,1.425834,0.712566
PRU,13,0.701386,0.202318,0.415385,0.367625,9.118012,0.699140
KMX,3,0.698281,0.213348,-0.433333,0.659966,2.094843,0.697765
INTU,19,0.685532,0.230539,0.207895,0.478557,13.025105,0.682324
IT,15,0.664979,0.280319,0.073333,0.490533,9.974680,0.662522
ORLY,2,0.640458,0.078625,0.300000,0.200000,1.280917,0.640143
TJX,6,0.619847,0.301503,0.333333,0.402768,3.719083,0.618931
TPR,4,0.617486,0.119570,0.550000,0.229129,2.469943,0.616877
FI,3,0.601195,0.285782,0.066667,0.188562,1.803586,0.600751
ADSK,18,0.600542,0.263660,0.338889,0.521897,10.809759,0.597880
STX,4,0.579869,0.261697,0.450000,0.229129,2.319477,0.579298
MCO,17,0.566578,0.259339,0.405882,0.363756,9.631820,0.564206
BKNG,32,0.565400,0.337299,0.315625,0.481605,18.092811,0.560945
NTAP,11,0.563637,0.271576,0.490909,0.435795,6.200011,0.562111
POOL,2,0.534528,0.003678,0.800000,0.000000,1.069056,0.534265
ANSS,16,0.528383,0.349225,0.593750,0.349050,8.454121,0.526301
SPGI,7,0.515939,0.219079,0.471429,0.376883,3.611570,0.515049
