num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.635061,0.140479,0.500000,0.000000
10,15,0.428313,0.319757,0.560000,0.380876
8,33,0.382004,0.240200,0.175758,0.578415
11,2,0.318604,0.117569,0.000000,0.800000
9,8,0.303093,0.119969,0.787500,0.033072
7,46,0.251782,0.222402,0.380435,0.497655
5,470,0.138373,0.199792,0.355745,0.456722
3,3358,0.134144,0.229547,0.301608,0.459966
6,235,0.125346,0.181608,0.214894,0.521201
2,6349,0.117650,0.239646,0.312947,0.461822
4,1557,0.104411,0.182784,0.270546,0.468577
1,13844,0.008907,0.022429,0.336914,0.507580
