ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860101,0.197847,0.200000,0.326599,2.580304,0.859466
TROW,8,0.822908,0.241061,0.400000,0.287228,6.583268,0.821287
APH,2,0.809101,0.190899,0.400000,0.300000,1.618202,0.808702
GL,5,0.800000,0.244951,0.340000,0.162481,4.000000,0.799015
ZBRA,3,0.780988,0.155938,0.733333,0.047140,2.342963,0.780411
VRSN,4,0.769641,0.232606,0.425000,0.129904,3.078562,0.768883
ROP,2,0.766298,0.233702,0.200000,0.700000,1.532595,0.765920
MKTX,7,0.752794,0.225985,0.257143,0.159079,5.269561,0.751497
LOW,6,0.743830,0.220515,0.200000,0.374166,4.462982,0.742731
AKAM,17,0.736664,0.251613,0.276471,0.338734,12.523282,0.733580
AZO,3,0.733467,0.188489,0.000000,0.355903,2.200400,0.732925
KMX,3,0.706491,0.207542,-0.433333,0.659966,2.119474,0.705969
PRU,13,0.702281,0.201289,0.415385,0.367625,9.129650,0.700033
MSI,2,0.688896,0.034637,-0.050000,0.650000,1.377792,0.688557
INTU,19,0.685417,0.234323,0.207895,0.478557,13.022926,0.682210
IT,15,0.665317,0.280222,0.073333,0.490533,9.979758,0.662860
TJX,6,0.627823,0.304648,0.333333,0.402768,3.766940,0.626896
TPR,4,0.618363,0.120855,0.550000,0.229129,2.473453,0.617754
ORLY,2,0.616530,0.150410,0.300000,0.200000,1.233060,0.616226
ADSK,18,0.602023,0.263127,0.338889,0.521897,10.836416,0.599355
FI,3,0.600861,0.293779,0.066667,0.188562,1.802584,0.600417
STX,4,0.573734,0.267447,0.450000,0.229129,2.294936,0.573169
BKNG,32,0.566406,0.336652,0.315625,0.481605,18.124992,0.561943
MCO,17,0.565941,0.259549,0.405882,0.363756,9.620993,0.563572
NTAP,11,0.551323,0.273016,0.490909,0.435795,6.064557,0.549830
POOL,2,0.540947,0.001411,0.800000,0.000000,1.081894,0.540680
ANSS,16,0.526100,0.353076,0.593750,0.349050,8.417605,0.524028
SPGI,7,0.518412,0.219355,0.471429,0.376883,3.628881,0.517518
