cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,85,2,15,37.0,29
1,8,572,4,44,4.0,40
2,360,1127,10,50,48.0,42
3,2,12,1,8,18.0,27
4,175,1784,3,1382,47.0,57
5,1,11,1,2,33.0,5
6,7,360,49,139,28.0,43
7,2,7,0,3,8.0,28
8,0,11,0,1,,15
9,132,120,4,46,50.0,33
10,21,807,162,808,44.0,52
11,0,11,0,2,,24
12,1,5,0,1,21.0,23
13,2,14,9,1,20.0,8
14,4,24,0,9,35.0,14
15,6,475,2,30,14.0,47
16,2,56,1,33,24.0,34
17,30,1083,33,294,23.0,49
18,0,16,0,1,,30
19,3,7,1,8,22.0,20
20,3,25,0,8,10.0,19
21,1,8,0,6,42.0,7
22,3,261,3,13,7.0,51
23,3,43,1,25,36.0,21
24,3,85,1,6,32.0,35
25,3,23,3,3,26.0,2
26,2,8,3,0,9.0,12
27,0,38,0,1,,31
28,2,33,0,5,41.0,18
29,9,148,4,22,6.0,25
30,4,3,0,5,38.0,26
31,1,16,3,2,31.0,16
32,213,377,10,270,46.0,46
33,4,142,0,6,30.0,32
34,111,2291,16,127,27.0,53
35,0,1,1,0,2.0,60
36,2,21,6,4,11.0,9
37,1,396,2,11,15.0,50
38,39,46,2,8,34.0,6
39,711,12,1,0,54.0,22
40,5,292,3,4,19.0,48
41,0,4,0,0,,1
42,2,33,1,64,5.0,36
43,4,6,4,3,12.0,10
44,0,9,0,3,,58
45,2,8,1,0,3.0,11
46,2,60,2,1,1.0,45
47,5,88,4,13,13.0,37
48,103,53,170,1,52.0,38
49,3,11,0,4,25.0,4
50,72,1544,0,1,49.0,59
51,3,627,6,29,16.0,39
52,293,7,0,154,53.0,55
53,113,1749,62,2243,29.0,54
54,3,85,1,0,17.0,56
55,12,35,60,8,45.0,3
56,0,3,1,0,39.0,17
57,3,20,0,3,43.0,13
58,2,28,0,2,40.0,44
59,375,999,4,231,51.0,41
