ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.862764,0.194081,0.200000,0.326599,2.588291,0.862126
TROW,8,0.816825,0.246721,0.400000,0.287228,6.534604,0.815216
APH,2,0.814883,0.185117,0.400000,0.300000,1.629766,0.814482
GL,5,0.800000,0.244953,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.779052,0.223086,0.425000,0.129904,3.116209,0.778285
ROP,2,0.766629,0.233371,0.200000,0.700000,1.533259,0.766252
MKTX,7,0.754360,0.225993,0.257143,0.159079,5.280522,0.753060
ZBRA,3,0.753383,0.175687,0.733333,0.047140,2.260149,0.752826
LOW,6,0.747408,0.217256,0.200000,0.374166,4.484447,0.746304
AZO,3,0.740527,0.183799,0.000000,0.355903,2.221581,0.739980
AKAM,17,0.738611,0.250050,0.276471,0.338734,12.556381,0.735519
MSI,2,0.709787,0.042188,-0.050000,0.650000,1.419574,0.709438
PRU,13,0.701268,0.202904,0.415385,0.367625,9.116489,0.699023
KMX,3,0.695624,0.215226,-0.433333,0.659966,2.086872,0.695110
INTU,19,0.683482,0.234354,0.207895,0.478557,12.986158,0.680284
IT,15,0.669138,0.277957,0.073333,0.490533,10.037076,0.666667
TJX,6,0.626553,0.304045,0.333333,0.402768,3.759317,0.625627
TPR,4,0.621866,0.122941,0.550000,0.229129,2.487462,0.621253
ORLY,2,0.620342,0.138975,0.300000,0.200000,1.240683,0.620036
ADSK,18,0.601737,0.262673,0.338889,0.521897,10.831275,0.599070
FI,3,0.595305,0.289398,0.066667,0.188562,1.785914,0.594865
STX,4,0.579827,0.259269,0.450000,0.229129,2.319307,0.579256
MCO,17,0.567641,0.259846,0.405882,0.363756,9.649898,0.565265
BKNG,32,0.563420,0.339029,0.315625,0.481605,18.029434,0.558980
NTAP,11,0.552066,0.277502,0.490909,0.435795,6.072721,0.550570
POOL,2,0.536553,0.007268,0.800000,0.000000,1.073106,0.536289
ANSS,16,0.532041,0.345307,0.593750,0.349050,8.512658,0.529945
SPGI,7,0.513921,0.218824,0.471429,0.376883,3.597447,0.513035
