num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.648023,0.132048,0.500000,0.000000
10,15,0.433635,0.314851,0.560000,0.380876
8,33,0.382696,0.241635,0.175758,0.578415
11,2,0.330220,0.112179,0.000000,0.800000
9,8,0.303186,0.116342,0.787500,0.033072
7,46,0.249889,0.223673,0.380435,0.497655
5,470,0.137902,0.199863,0.355745,0.456722
3,3358,0.134087,0.229881,0.301608,0.459966
6,235,0.124405,0.181167,0.214894,0.521201
2,6349,0.117385,0.239562,0.312947,0.461822
4,1557,0.104218,0.182466,0.270546,0.468577
1,13844,0.008931,0.022478,0.336914,0.507580
