num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.645885,0.128645,0.500000,0.000000
10,15,0.434662,0.317483,0.560000,0.380876
8,33,0.379282,0.243786,0.175758,0.578415
11,2,0.313186,0.120291,0.000000,0.800000
9,8,0.308755,0.121571,0.787500,0.033072
7,46,0.250742,0.222811,0.380435,0.497655
5,470,0.138407,0.199470,0.355745,0.456722
3,3358,0.133942,0.229535,0.301608,0.459966
6,235,0.125504,0.181632,0.214894,0.521201
2,6349,0.117364,0.239718,0.312947,0.461822
4,1557,0.104480,0.182716,0.270546,0.468577
1,13844,0.008824,0.022249,0.336914,0.507580
