Ticker,Reported_Date,Actual_Label,Probability,Predicted_Label,fact_ids
BX,2021-12-31,1.0,0.46874362,0,"[120249, 120246, 46952, 120226, 120233, 120231, 120239, 280513, 120235, 120230, 120217, 120219, 120218, 120213, 120211, 120206, 120208, 120196, 120198, 120199, 120193, 120188, 120189, 49667, 120184, 120182, 120181, 120180, 106773, 120179, 120174, 120173, 120168, 120166, 120159, 120164, 120162, 120160, 120158, 120157, 120153, 274264, 120148, 274262, 120135, 120136, 120139, 120142, 120133, 120128, 120129, 274238, 120127, 120126, 120125, 120122, 120123, 120124, 120118, 120112, 120114, 120113, 120111, 120107, 120106, 120105, 120101, 120102, 120099, 49638, 120098, 120095, 120091, 120090, 120094, 120089, 120080, 120084, 120076, 120073, 120074, 120077, 120078, 120069, 120070, 25324, 120075, 120066, 120064, 120067, 120068, 120063, 120058, 106739]"
EBAY,2022-09-30,1.0,0.44652438,0,"[188651, 188649, 188642, 188640, 188636, 188632, 188637, 188630, 188633, 188634, 188629, 188628, 188627, 188626, 188623, 188624, 188619, 188615, 19847, 188612, 19845, 188609, 188606, 188601, 204442, 188603, 188602, 188598, 188590, 188593, 188595, 188581, 188577, 188582, 60115, 188589, 19055, 188586, 188576, 188578, 188575, 188580, 188579, 188570, 188572, 188571, 188568, 188566, 188562, 188559, 188560, 188557, 188556, 188555, 188552, 188546, 18712, 188549, 188547, 188545, 188539, 188543, 188541, 188540, 188538, 31970, 188534, 114013, 188535, 188531, 188525, 188523, 188528, 188522, 188526, 188521, 188516, 188519, 188515, 188509, 113982, 113980, 188506, 188505, 188504, 188501]"
WFC,2023-09-30,0.0,0.4720584,0,"[203898, 229170, 229162, 229158, 229139, 229134, 229135, 229130, 7526, 229112, 203807, 188191, 229086, 109321, 273327, 158454, 229055, 180505, 276564, 229039, 229029, 222819, 222829, 106246, 222811, 229025, 222822, 109318, 97476, 228999, 228991, 229016, 7261, 7219, 118682, 228986, 228970, 109265, 162940, 109275, 109296, 109290, 109278, 149047, 210292, 228911, 228924, 109233, 228884, 7063, 228881, 210286, 149035, 72468, 6943, 203616, 203618, 97225, 228826, 228830, 97215, 39311, 188153, 188166, 6765, 228807, 21817, 97141, 6453, 6488, 6468, 72246, 228787, 46344, 219326, 46335, 96979, 6080, 6067, 46330, 5997, 6017, 5994, 6003, 5991, 258722, 228749, 228751, 228750, 228740, 175711, 106180, 228720, 175674, 175682, 175694, 175686, 46320, 175690, 175725, 158355, 96520, 106177, 228644, 228633, 228637, 5234, 228585, 204253, 212902, 210210, 210209, 228494, 203011, 158312, 228469, 228467, 4190, 4152, 46288, 228461, 30005, 158291, 95701, 228402, 228390, 228388, 204225, 204227, 204229, 228373, 228375, 118455, 46266, 228352, 124642, 124640, 124655, 228351, 124650, 124636]"
KEY,2016-09-30,1.0,0.38744876,0,"[272419, 272408, 272410, 272409, 272412, 111871, 111870, 135584, 211834, 272407, 272406, 272403, 272397, 272401, 272391, 111856, 272392, 224359, 272396, 111847, 111849, 135449, 272388, 135438, 272384, 272389, 207341, 272385, 272386, 272382, 272383, 211811, 272374, 272380, 272371, 211784]"
CCL,2020-09-30,1.0,0.4173276,0,"[57886, 57890, 236513, 127393, 127390, 57896, 277177, 177058, 82450, 44688, 236482, 127357, 127353, 50102, 127344, 127341, 127335, 127348, 236458, 236454, 281468, 236462, 236437, 236428, 236445, 236403, 236432, 248319, 248325, 127229, 264911, 243607, 198450, 82137, 281382, 82098, 127081, 181722, 167784, 190192, 190201, 250566, 250562, 281350, 281344, 81894, 81901, 223361, 167567, 33914, 33894, 60696, 33876, 236151, 214736, 214728, 190156, 105642, 110600, 81806, 81812, 25892, 25886, 65273, 65278, 277148, 277147]"
WFC,2020-12-31,1.0,0.34366235,0,"[236048, 236049, 236033, 50000, 81737, 236012, 236014, 235998, 235999, 235985, 235983, 235974, 235959, 235981, 235980, 235933, 235940, 235946, 235950, 235954, 174159, 235914, 235912, 235910, 235906, 235903, 235893, 222147, 235886, 235920, 235873, 235891, 235927, 235879, 235889, 104003, 235839, 235820, 222648, 81504, 235813, 235811, 81510, 57830, 264335, 235805, 235801, 235806, 49952, 235784, 214654, 214666, 110533, 235746, 235737, 274825, 206016, 176953, 176958, 151373, 235727, 167398, 167387, 167379, 159310, 115139, 49926, 159305, 235680, 235655, 81346, 235661, 159296, 44612, 235631, 167259, 235601, 235599, 246889, 246892, 139895, 25813, 235531, 235492, 235478, 120781, 235476, 146720, 146722, 167192, 235469, 235449]"
AMD,2017-12-31,0.0,0.42800096,0,"[89242, 89243, 89245, 89244, 89247, 89248, 89249, 89250, 89246, 89224, 89225, 89227, 89238, 89233, 89229, 89220, 89214, 89206, 89216, 89217, 89211, 89208, 89203, 89201, 89207, 89198, 89194, 89196, 89199, 89197, 89191, 89183, 89184, 89185, 89189, 89188, 89187, 89170, 89179, 89171, 89180, 89178, 89181, 89169, 89162, 89168, 89165, 89161, 89175, 89155, 89151, 183215, 89141, 89149, 89145, 89136, 67204, 89139, 89133, 89132, 89129, 89127, 89111, 89118, 89123, 89119, 89115, 89107, 36688, 89101, 67137, 67138, 89100, 89099, 89095, 58495, 89088, 89084, 89092, 89076, 89090, 89077, 89087, 89075, 89068, 89086, 89067, 89078, 89069, 89074, 89058, 89055, 89030, 89060, 89046, 89061, 89063, 89052, 89062, 89037, 89034, 89029, 89024, 89033, 89035, 89036, 89053, 88986, 88983, 88980, 88979, 88978, 143783, 58484, 88987, 58466, 88991, 88976, 88992, 88999, 88996, 88997, 88977, 89004, 89006, 89010, 89012, 89016, 89018, 88974, 89025, 88975, 88968, 88969, 88966, 88961, 88953, 88955, 88951, 88948, 88957, 88944, 88942, 88917, 88936, 88935, 36609, 88916, 88918, 88940, 88927, 88929, 88937, 88932, 88926, 88908, 88913, 58459, 88898, 88896, 88895, 88893, 36605, 88901, 88904, 88900, 88899, 88905, 88890, 88881, 88884, 88882, 88871, 88875, 88879, 88870, 88873, 88865, 88868, 88847, 88852, 88855, 88860, 88862, 88864, 88867, 88854, 88839, 88835, 88842, 88844, 88851, 88834, 88832, 88820, 88824, 88828, 88822, 88800, 88816, 88815, 88813, 88812, 88811, 66951, 88803, 88805, 88804, 88790, 88791, 88783, 88793, 88794, 88792, 88797, 88776, 88778, 88775, 88769, 88763, 88772, 88756, 88757, 88759, 88760, 88758, 131919, 88739, 88744, 88745, 88751, 88734, 88735, 88730, 88729, 88733, 88725, 88731, 88723, 88721, 88720, 88713, 88714, 88711, 88709, 88708, 88706, 88707, 88705, 88704, 88701, 88699, 88698, 88697, 88694, 88693, 88692, 88696, 88689, 88685, 88684, 88683, 88688, 88681, 88676, 88679, 140597, 88656, 88659, 88662, 88664, 88665, 140591, 88658, 88653, 111385, 88641, 88624, 88625, 88638, 88629, 88632, 88633, 88651, 88627, 88618, 88619, 88620, 88621, 88623, 88616, 88602, 88606, 88600, 88613, 88594, 88582, 88584, 88586, 88590, 88591, 88592, 88593, 88596, 88579, 88577, 88573, 88572, 88571, 88570, 88564, 88559, 88558, 88565, 88556, 88555, 88547, 88551, 88552, 88541, 88542, 88539, 88533, 88532, 88535, 88534, 58416, 88520, 88513, 88529, 88525, 88517, 88528, 88531, 88530, 88527, 88511, 88506, 88504, 88508, 88492, 88501, 88500, 88496, 270802, 88494, 88490, 88489, 88491]"
IBM,2021-03-31,0.0,0.4271092,0,"[220402, 263985, 263965, 235423, 57781, 167139, 81132, 263907, 167098, 167097, 81013, 263791, 167055, 263794, 263797, 263801, 263816, 263807, 263810, 263814, 263803, 263790, 80989, 235277, 80977, 167028, 167034, 167030, 167029, 205979, 167001, 80867, 80849, 166964, 80810, 166949, 166915, 166875, 250474, 80762, 166862, 166853, 223306, 33505, 80706, 263562, 263499]"
NKE,2023-09-30,0.0,0.46907684,0,"[7618, 7628, 97689, 7487, 97581, 30489, 97477, 6765, 162813, 6743, 6268, 6304, 113394, 96944, 258723, 5954, 175739, 30346, 5743, 5741, 5661, 175634, 148910, 5604, 148912, 270969, 5458, 5464, 39220, 39175, 71965, 175610, 228638, 30303, 5382, 96348, 30237, 228550, 4880, 4775, 4309, 4306, 4133, 4046, 29913, 29907, 249255, 3664, 202724, 95537, 95576, 249262, 95464, 95442, 63013, 24069, 3415, 162317, 3441, 29866, 3401, 3412, 62988, 3448, 3399]"
C,2018-06-30,0.0,0.47905305,0,"[130978, 130980, 130971, 130964, 211295, 130976, 130965, 130966, 130967, 130969, 130963, 169803, 130948, 130947, 272021, 130951, 130952, 130942, 130946, 130944, 130928, 130921, 130923, 130927, 130920, 130919, 130931, 130929, 130908, 130910, 130891, 130906, 111283, 130899, 130903, 130905, 130878, 130883, 130875, 130881, 130886, 130871, 130874, 130866, 130892, 130895, 130865, 130888, 130880, 130869, 130827, 130825, 130814, 130823, 130822, 130856, 130859, 130817, 130858, 130862, 130816, 130849, 130830, 130819, 130845, 130836, 130842, 130864, 130803, 130799, 130797, 130795, 130807, 130805, 111272, 130811, 130815, 130843, 130840, 130809, 130792, 130773, 130765, 130768, 130769, 130764, 130775, 130788, 130779, 130781, 130782, 130787, 130771, 130777, 238878, 238882, 130747, 130755, 130760, 130749, 130737, 130727, 130740, 130731, 130745, 130735, 130742, 111228, 130715, 121879, 111208, 130724, 130723, 130721, 130722, 130720, 211273, 130711, 130706, 130704, 130708, 247135, 247129, 130700, 211266, 130698, 130699, 159917, 130702, 130695, 130689, 130690, 50758, 130685, 130687, 50745, 275434, 140271, 140263, 130682, 140265, 130683, 130678, 130674, 121852, 121840, 121843, 130668, 121835, 174458, 130672, 130669, 130659, 130664, 130666, 238752, 130649, 130648, 130657, 238723, 238729, 130637, 130639, 130645, 130633, 130627, 121817, 238700, 121812, 130621, 130623, 130619, 130617, 211226, 130616, 238681, 238685, 130613, 130594, 130596, 130601, 130606, 130597, 130582, 130583, 130588, 130589, 130581, 130570, 130575, 130576, 130574, 238627, 22851, 130562, 275422, 275417, 130563, 130561, 130559, 130553, 130555, 130548, 130551, 130549, 130547, 130545, 130544, 130541, 130543, 130538, 130534, 130532, 130530, 117309, 117319, 130522, 117315, 269067, 50678, 130524, 130520, 130516, 130501, 130513, 130512, 130499, 121777, 121780, 121785, 177702, 130491, 130489, 130462, 271981, 130452, 130460, 130463, 130469, 130477, 130482, 130484, 130487, 130492, 130473]"
