test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
NVDA_2023-06-30,NVDA,2023-06-30,0,0,30,27,3
ORCL_2017-03-31,ORCL,2017-03-31,0,0,30,30,0
ORCL_2017-09-30,ORCL,2017-09-30,0,0,30,30,0
ORCL_2019-03-31,ORCL,2019-03-31,0,0,30,30,0
ORCL_2022-06-30,ORCL,2022-06-30,0,0,30,30,0
PGR_2017-09-30,PGR,2017-09-30,1,0,30,30,0
PNC_2017-06-30,PNC,2017-06-30,0,0,30,30,0
QCOM_2018-12-31,QCOM,2018-12-31,0,0,30,29,1
QCOM_2020-03-31,QCOM,2020-03-31,0,1,30,15,15
QCOM_2020-12-31,QCOM,2020-12-31,0,0,30,16,14
SBUX_2018-06-30,SBUX,2018-06-30,0,0,30,30,0
SBUX_2020-09-30,SBUX,2020-09-30,1,0,30,29,1
SBUX_2023-03-31,SBUX,2023-03-31,0,0,30,30,0
SCHW_2023-12-31,SCHW,2023-12-31,0,0,30,30,0
SNPS_2023-12-31,SNPS,2023-12-31,0,0,30,30,0
TSLA_2017-12-31,TSLA,2017-12-31,0,0,30,30,0
TSLA_2018-06-30,TSLA,2018-06-30,0,0,30,30,0
TSLA_2018-09-30,TSLA,2018-09-30,1,0,30,30,0
TSLA_2022-12-31,TSLA,2022-12-31,1,0,30,29,1
TXN_2022-03-31,TXN,2022-03-31,1,0,30,30,0
V_2021-09-30,V,2021-09-30,0,0,30,30,0
V_2022-03-31,V,2022-03-31,0,0,30,30,0
V_2022-09-30,V,2022-09-30,0,0,30,30,0
V_2023-09-30,V,2023-09-30,0,1,30,14,16
WFC_2020-12-31,WFC,2020-12-31,1,1,30,4,26
WFC_2022-09-30,WFC,2022-09-30,0,0,30,29,1
WFC_2023-06-30,WFC,2023-06-30,0,0,30,30,0
WFC_2023-09-30,WFC,2023-09-30,0,0,30,24,6
