num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.639359,0.135815,0.500000,0.000000
10,15,0.435738,0.317593,0.560000,0.380876
8,33,0.381105,0.243666,0.175758,0.578415
11,2,0.322411,0.110748,0.000000,0.800000
9,8,0.291209,0.128526,0.787500,0.033072
7,46,0.254374,0.227224,0.380435,0.497655
5,470,0.137207,0.198487,0.355745,0.456722
3,3358,0.134028,0.229610,0.301608,0.459966
6,235,0.124522,0.181287,0.214894,0.521201
2,6349,0.117640,0.239643,0.312947,0.461822
4,1557,0.104361,0.182878,0.270546,0.468577
1,13844,0.008978,0.022596,0.336914,0.507580
