ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.862012,0.195144,0.200000,0.326599,2.586037,0.861376
TROW,8,0.821824,0.243143,0.400000,0.287228,6.574592,0.820205
APH,2,0.811703,0.188297,0.400000,0.300000,1.623405,0.811303
GL,5,0.800000,0.244950,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.773591,0.228802,0.425000,0.129904,3.094364,0.772829
ZBRA,3,0.771421,0.161941,0.733333,0.047140,2.314263,0.770851
ROP,2,0.769763,0.230237,0.200000,0.700000,1.539526,0.769384
AZO,3,0.764951,0.166217,0.000000,0.355903,2.294854,0.764386
MKTX,7,0.752246,0.226376,0.257143,0.159079,5.265723,0.750950
LOW,6,0.750472,0.214783,0.200000,0.374166,4.502835,0.749364
AKAM,17,0.737657,0.250685,0.276471,0.338734,12.540175,0.734569
MSI,2,0.713878,0.050759,-0.050000,0.650000,1.427756,0.713527
KMX,3,0.702535,0.210340,-0.433333,0.659966,2.107604,0.702016
PRU,13,0.699690,0.203182,0.415385,0.367625,9.095973,0.697450
INTU,19,0.684886,0.233793,0.207895,0.478557,13.012825,0.681681
IT,15,0.665844,0.279761,0.073333,0.490533,9.987653,0.663384
ORLY,2,0.630287,0.109139,0.300000,0.200000,1.260574,0.629976
TJX,6,0.623238,0.302658,0.333333,0.402768,3.739426,0.622317
TPR,4,0.616107,0.120070,0.550000,0.229129,2.464427,0.615500
FI,3,0.608663,0.287094,0.066667,0.188562,1.825990,0.608214
ADSK,18,0.601165,0.262992,0.338889,0.521897,10.820970,0.598500
STX,4,0.576507,0.264063,0.450000,0.229129,2.306028,0.575939
BKNG,32,0.568703,0.337316,0.315625,0.481605,18.198510,0.564222
MCO,17,0.567209,0.259109,0.405882,0.363756,9.642549,0.564834
NTAP,11,0.537503,0.287276,0.490909,0.435795,5.912534,0.536047
POOL,2,0.531492,0.000439,0.800000,0.000000,1.062984,0.531230
ANSS,16,0.529853,0.348511,0.593750,0.349050,8.477645,0.527765
SPGI,7,0.515235,0.218975,0.471429,0.376883,3.606645,0.514347
