cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,88,0,17,34.0,32
1,7,519,5,44,4.0,37
2,357,1214,11,58,48.0,42
3,2,12,1,7,18.0,27
4,181,1799,8,1384,46.0,56
5,1,9,1,2,28.0,3
6,4,335,52,142,27.0,41
7,1,6,0,4,8.0,19
8,0,11,1,1,36.0,14
9,127,106,7,44,50.0,29
10,18,774,165,811,45.0,51
11,0,10,0,2,,25
12,0,2,0,4,,20
13,2,12,8,1,17.0,8
14,3,24,0,10,42.0,13
15,6,486,1,35,21.0,47
16,1,55,2,32,20.0,33
17,23,1041,36,294,23.0,48
18,0,15,0,1,,28
19,2,7,0,8,43.0,17
20,2,28,0,9,13.0,21
21,1,6,0,6,38.0,7
22,3,262,3,13,6.0,52
23,2,43,1,25,35.0,23
24,3,87,1,6,32.0,35
25,4,23,3,3,24.0,2
26,3,8,3,0,9.0,11
27,0,38,0,2,,31
28,1,32,0,6,26.0,18
29,4,148,4,29,7.0,22
30,4,4,0,5,37.0,26
31,1,45,3,1,29.0,43
32,212,385,9,270,47.0,45
33,4,140,1,6,30.0,30
34,30,2295,14,202,11.0,53
35,0,1,1,0,3.0,60
36,2,23,1,4,1.0,9
37,1,399,3,10,15.0,50
38,39,42,2,8,33.0,6
39,711,12,1,0,53.0,24
40,6,290,3,4,19.0,49
41,0,4,0,0,,1
42,1,33,1,65,31.0,34
43,4,7,4,3,12.0,10
44,0,9,0,3,,57
45,2,10,1,0,5.0,15
46,2,62,2,1,2.0,46
47,5,91,4,13,14.0,36
48,104,54,171,3,51.0,38
49,2,10,0,5,25.0,4
50,71,1545,0,2,49.0,59
51,2,637,3,29,10.0,39
52,0,8,0,447,,58
53,104,1794,14,2248,22.0,54
54,3,85,1,0,16.0,55
55,12,37,55,9,44.0,5
56,0,3,1,0,40.0,16
57,3,19,0,3,39.0,12
58,3,29,0,2,41.0,44
59,372,925,76,235,52.0,40
