cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,3,68,1,15,39.0,23
1,7,517,2,45,7.0,38
2,357,1193,9,57,49.0,42
3,2,11,0,9,13.0,29
4,182,1787,2,1381,46.0,56
5,1,11,1,2,34.0,7
6,5,363,50,140,27.0,43
7,2,8,0,3,10.0,31
8,0,11,1,1,41.0,15
9,128,113,5,47,51.0,32
10,20,928,6,810,5.0,52
11,0,9,0,2,,27
12,1,3,0,1,17.0,18
13,2,10,14,1,20.0,4
14,3,25,0,10,43.0,14
15,6,478,3,31,26.0,46
16,1,54,2,33,21.0,34
17,27,1053,38,291,22.0,49
18,0,14,0,1,,28
19,3,8,0,9,42.0,19
20,3,23,0,9,15.0,21
21,1,5,0,6,44.0,5
22,3,261,3,13,6.0,51
23,1,44,1,28,36.0,24
24,1,88,2,6,28.0,36
25,4,22,4,3,29.0,2
26,3,8,4,0,12.0,12
27,0,38,0,1,,30
28,3,33,0,4,37.0,17
29,5,172,3,28,4.0,26
30,4,3,0,5,38.0,25
31,1,19,3,1,31.0,16
32,214,383,8,270,47.0,44
33,5,141,0,6,32.0,33
34,110,2285,26,122,25.0,53
35,0,1,21,0,50.0,60
36,2,25,1,4,1.0,11
37,2,403,4,9,18.0,50
38,38,40,6,8,35.0,6
39,711,10,0,0,54.0,22
40,6,288,6,4,19.0,48
41,0,5,0,0,,1
42,1,33,1,65,30.0,35
43,3,5,4,3,8.0,10
44,0,10,0,3,,57
45,2,9,0,0,3.0,9
46,2,59,3,2,2.0,45
47,5,85,3,13,11.0,37
48,105,54,171,3,53.0,39
49,3,8,0,4,24.0,3
50,71,1542,0,1,48.0,59
51,2,647,2,28,9.0,40
52,0,6,0,448,,58
53,104,1823,16,2247,23.0,54
54,3,85,1,0,16.0,55
55,13,40,35,9,33.0,8
56,0,4,1,0,40.0,20
57,3,19,0,4,45.0,13
58,1,28,1,2,14.0,47
59,374,924,76,231,52.0,41
