test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
AAPL_2015-09-30,AAPL,2015-09-30,0,0,28,28,0
AAPL_2017-03-31,AAPL,2017-03-31,1,0,28,28,0
AAPL_2018-09-30,AAPL,2018-09-30,0,0,28,28,0
AAPL_2020-12-31,AAPL,2020-12-31,0,0,28,28,0
AAPL_2023-06-30,AAPL,2023-06-30,0,0,28,28,0
ACGL_2016-12-31,ACGL,2016-12-31,0,0,28,28,0
ACGL_2022-03-31,ACGL,2022-03-31,1,0,28,28,0
ACGL_2022-09-30,ACGL,2022-09-30,1,0,28,28,0
ACN_2015-12-31,ACN,2015-12-31,0,0,28,28,0
ACN_2016-12-31,ACN,2016-12-31,0,0,28,28,0
ACN_2018-06-30,ACN,2018-06-30,0,0,28,28,0
ACN_2018-12-31,ACN,2018-12-31,0,0,28,28,0
ACN_2021-03-31,ACN,2021-03-31,0,0,28,28,0
ACN_2022-03-31,ACN,2022-03-31,0,0,28,28,0
ACN_2022-06-30,ACN,2022-06-30,0,0,28,28,0
ACN_2022-09-30,ACN,2022-09-30,0,0,28,28,0
ADBE_2015-12-31,ADBE,2015-12-31,0,0,28,28,0
ADBE_2020-12-31,ADBE,2020-12-31,0,0,28,28,0
ADBE_2022-12-31,ADBE,2022-12-31,0,0,28,28,0
ADBE_2023-03-31,ADBE,2023-03-31,0,0,28,28,0
ADBE_2023-12-31,ADBE,2023-12-31,0,0,28,28,0
ADI_2017-12-31,ADI,2017-12-31,0,0,28,28,0
ADI_2020-09-30,ADI,2020-09-30,1,0,28,28,0
AFL_2017-12-31,AFL,2017-12-31,1,0,28,28,0
AFL_2023-03-31,AFL,2023-03-31,0,0,28,28,0
AIG_2017-03-31,AIG,2017-03-31,0,0,28,28,0
AIG_2022-06-30,AIG,2022-06-30,0,0,28,28,0
AIG_2023-09-30,AIG,2023-09-30,0,0,28,28,0
ALL_2018-03-31,ALL,2018-03-31,0,0,28,28,0
ALL_2023-12-31,ALL,2023-12-31,0,0,28,28,0
AMAT_2017-06-30,AMAT,2017-06-30,0,0,28,28,0
AMAT_2023-03-31,AMAT,2023-03-31,1,0,28,25,3
AMD_2017-12-31,AMD,2017-12-31,0,0,28,28,0
AMD_2018-03-31,AMD,2018-03-31,1,0,28,28,0
AMD_2021-12-31,AMD,2021-12-31,0,0,28,28,0
