ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.862764,0.194081,0.200000,0.326599,2.588292,0.862127
TROW,8,0.819238,0.243753,0.400000,0.287228,6.553901,0.817624
APH,2,0.816585,0.183415,0.400000,0.300000,1.633171,0.816183
GL,5,0.800000,0.244950,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.770021,0.232288,0.425000,0.129904,3.080083,0.769262
ZBRA,3,0.766695,0.168329,0.733333,0.047140,2.300086,0.766129
ROP,2,0.765433,0.234567,0.200000,0.700000,1.530867,0.765056
MKTX,7,0.758346,0.225980,0.257143,0.159079,5.308419,0.757038
LOW,6,0.755547,0.218533,0.200000,0.374166,4.533279,0.754430
AKAM,17,0.738199,0.250298,0.276471,0.338734,12.549377,0.735108
AZO,3,0.736559,0.187211,0.000000,0.355903,2.209678,0.736015
MSI,2,0.734622,0.081282,-0.050000,0.650000,1.469244,0.734260
PRU,13,0.702366,0.202433,0.415385,0.367625,9.130756,0.700117
KMX,3,0.702149,0.210613,-0.433333,0.659966,2.106446,0.701630
INTU,19,0.682442,0.236247,0.207895,0.478557,12.966400,0.679249
IT,15,0.665042,0.280366,0.073333,0.490533,9.975637,0.662586
ORLY,2,0.629099,0.112704,0.300000,0.200000,1.258197,0.628789
TJX,6,0.623634,0.302878,0.333333,0.402768,3.741803,0.622712
TPR,4,0.613853,0.117095,0.550000,0.229129,2.455412,0.613248
FI,3,0.602640,0.289466,0.066667,0.188562,1.807920,0.602195
ADSK,18,0.601969,0.261628,0.338889,0.521897,10.835441,0.599301
STX,4,0.574853,0.268239,0.450000,0.229129,2.299410,0.574286
MCO,17,0.565761,0.260288,0.405882,0.363756,9.617929,0.563392
BKNG,32,0.562828,0.338667,0.315625,0.481605,18.010500,0.558393
NTAP,11,0.545060,0.285696,0.490909,0.435795,5.995658,0.543583
POOL,2,0.532959,0.002719,0.800000,0.000000,1.065918,0.532696
ANSS,16,0.527305,0.350595,0.593750,0.349050,8.436885,0.525228
SPGI,7,0.515898,0.219037,0.471429,0.376883,3.611285,0.515009
