num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.637581,0.143006,0.500000,0.000000
10,15,0.429278,0.318667,0.560000,0.380876
8,33,0.380905,0.242986,0.175758,0.578415
11,2,0.321792,0.122011,0.000000,0.800000
9,8,0.288278,0.123560,0.787500,0.033072
7,46,0.251741,0.222407,0.380435,0.497655
5,470,0.138652,0.199575,0.355745,0.456722
3,3358,0.134179,0.229759,0.301608,0.459966
6,235,0.125754,0.182612,0.214894,0.521201
2,6349,0.117311,0.239546,0.312947,0.461822
4,1557,0.104786,0.183233,0.270546,0.468577
1,13844,0.008954,0.022552,0.336914,0.507580
