cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,3,87,0,15,35.0,33
1,7,515,5,43,5.0,38
2,362,1139,6,51,46.0,44
3,2,10,1,9,18.0,28
4,1280,1818,6,281,51.0,55
5,1,8,1,2,30.0,3
6,6,363,49,140,29.0,43
7,2,8,0,3,8.0,30
8,0,10,1,1,40.0,11
9,129,114,5,47,49.0,34
10,19,776,164,809,44.0,52
11,0,9,0,2,,26
12,1,4,0,1,19.0,21
13,3,12,8,0,12.0,12
14,3,27,0,10,43.0,15
15,11,486,1,32,22.0,47
16,3,55,2,32,17.0,35
17,25,1045,30,285,20.0,49
18,0,16,0,1,,29
19,3,7,0,9,41.0,20
20,2,27,0,9,11.0,23
21,1,7,0,6,39.0,7
22,3,262,2,14,6.0,51
23,2,48,0,27,42.0,27
24,1,89,1,6,23.0,37
25,4,23,2,3,25.0,2
26,3,9,4,0,14.0,14
27,0,38,0,2,,32
28,3,33,0,5,34.0,19
29,5,146,1,26,3.0,22
30,4,3,0,5,36.0,24
31,1,18,3,1,31.0,18
32,216,381,9,269,45.0,46
33,3,141,0,6,27.0,31
34,109,2297,16,124,26.0,53
35,0,2,0,0,,8
36,2,20,4,4,7.0,6
37,2,397,3,10,9.0,50
38,39,44,2,9,33.0,5
39,711,12,1,0,52.0,25
40,5,293,2,4,15.0,48
41,0,3,0,0,,1
42,1,54,0,65,32.0,40
43,4,6,4,4,10.0,9
44,0,10,0,3,,58
45,2,9,1,0,4.0,13
46,3,60,1,1,2.0,45
47,4,88,3,13,13.0,36
48,104,53,171,3,50.0,39
49,3,10,0,4,24.0,4
50,72,1544,0,1,47.0,60
51,5,646,2,30,1.0,41
52,0,6,0,447,,59
53,113,1806,16,2240,21.0,56
54,3,85,1,0,16.0,57
55,11,58,35,6,28.0,17
56,0,3,0,0,,16
57,3,20,0,3,38.0,10
58,2,55,0,2,37.0,54
59,375,928,76,232,48.0,42
