num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.652964,0.120528,0.500000,0.000000
10,15,0.431941,0.315545,0.560000,0.380876
8,33,0.377419,0.240736,0.175758,0.578415
11,2,0.314751,0.122354,0.000000,0.800000
9,8,0.308234,0.120702,0.787500,0.033072
7,46,0.253015,0.220310,0.380435,0.497655
5,470,0.138817,0.200416,0.355745,0.456722
3,3358,0.133706,0.229210,0.301608,0.459966
6,235,0.125003,0.181939,0.214894,0.521201
2,6349,0.117785,0.239827,0.312947,0.461822
4,1557,0.103912,0.182571,0.270546,0.468577
1,13844,0.008935,0.022496,0.336914,0.507580
