ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.862139,0.194966,0.200000,0.326599,2.586416,0.861502
TROW,8,0.820168,0.241461,0.400000,0.287228,6.561347,0.818553
APH,2,0.804819,0.195181,0.400000,0.300000,1.609638,0.804423
GL,5,0.800000,0.244997,0.340000,0.162481,4.000000,0.799015
ZBRA,3,0.791586,0.147518,0.733333,0.047140,2.374758,0.791001
VRSN,4,0.786199,0.216495,0.425000,0.129904,3.144797,0.785425
ROP,2,0.769157,0.230843,0.200000,0.700000,1.538314,0.768778
MKTX,7,0.753774,0.227098,0.257143,0.159079,5.276416,0.752474
LOW,6,0.748322,0.215608,0.200000,0.374166,4.489933,0.747217
AZO,3,0.740332,0.184174,0.000000,0.355903,2.220995,0.739785
AKAM,17,0.736135,0.252017,0.276471,0.338734,12.514295,0.733053
KMX,3,0.700709,0.211631,-0.433333,0.659966,2.102127,0.700191
PRU,13,0.699099,0.202521,0.415385,0.367625,9.088286,0.696861
MSI,2,0.689482,0.034818,-0.050000,0.650000,1.378963,0.689142
INTU,19,0.688231,0.230415,0.207895,0.478557,13.076393,0.685011
IT,15,0.664922,0.280423,0.073333,0.490533,9.973829,0.662466
TJX,6,0.625329,0.303474,0.333333,0.402768,3.751974,0.624405
ORLY,2,0.624013,0.127961,0.300000,0.200000,1.248026,0.623706
TPR,4,0.620202,0.123265,0.550000,0.229129,2.480806,0.619591
ADSK,18,0.598875,0.263217,0.338889,0.521897,10.779755,0.596221
FI,3,0.598249,0.289265,0.066667,0.188562,1.794746,0.597807
STX,4,0.582066,0.261493,0.450000,0.229129,2.328266,0.581493
BKNG,32,0.567463,0.335257,0.315625,0.481605,18.158823,0.562992
MCO,17,0.563717,0.262040,0.405882,0.363756,9.583191,0.561357
NTAP,11,0.551572,0.273149,0.490909,0.435795,6.067290,0.550078
ANSS,16,0.532693,0.345363,0.593750,0.349050,8.523093,0.530595
POOL,2,0.531297,0.000504,0.800000,0.000000,1.062594,0.531036
SPGI,7,0.517204,0.219251,0.471429,0.376883,3.620430,0.516313
