cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,86,3,16,18.0,32
1,9,517,5,44,9.0,38
2,367,1162,15,45,48.0,42
3,2,12,1,9,22.0,29
4,1283,1357,434,279,54.0,52
5,1,11,1,2,34.0,6
6,4,386,50,139,32.0,43
7,2,8,1,3,16.0,26
8,0,9,1,1,1.0,24
9,130,113,7,43,51.0,30
10,459,778,164,371,52.0,45
11,1,9,0,1,2.0,37
12,2,4,0,1,27.0,21
13,3,11,13,0,17.0,10
14,4,23,1,9,37.0,12
15,7,478,2,33,23.0,48
16,2,55,2,32,28.0,33
17,29,1057,37,287,25.0,51
18,0,15,0,1,,27
19,3,8,0,9,42.0,19
20,4,25,1,8,21.0,20
21,1,6,0,6,43.0,7
22,4,264,2,12,8.0,53
23,2,43,3,27,30.0,22
24,1,85,2,6,31.0,34
25,4,23,2,3,29.0,2
26,3,11,3,0,12.0,16
27,0,38,0,2,,31
28,2,33,0,5,44.0,17
29,12,160,8,20,11.0,25
30,4,4,0,5,40.0,23
31,1,16,3,1,35.0,13
32,214,382,9,269,47.0,47
33,4,142,0,6,33.0,28
34,114,2288,23,121,26.0,54
35,0,1,1,0,3.0,60
36,2,20,2,4,5.0,9
37,5,362,39,10,46.0,50
38,38,43,5,8,38.0,5
39,711,9,0,0,56.0,18
40,6,294,3,4,19.0,49
41,0,3,0,0,,1
42,2,31,3,64,10.0,36
43,6,3,6,1,15.0,3
44,0,10,0,3,,58
45,2,8,1,0,7.0,11
46,2,62,3,1,6.0,46
47,5,85,3,13,13.0,35
48,105,53,171,3,53.0,39
49,5,9,1,2,14.0,4
50,71,1544,0,1,50.0,59
51,6,641,3,29,4.0,40
52,293,7,0,154,55.0,56
53,118,1787,24,2230,24.0,55
54,3,85,1,0,20.0,57
55,10,34,57,5,36.0,8
56,0,3,1,0,39.0,15
57,3,21,0,4,45.0,14
58,3,29,0,2,41.0,44
59,382,925,77,226,49.0,41
