cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,2,59,0,15,33.0,23
1,4,490,3,46,3.0,39
2,352,1212,1,59,45.0,43
3,0,12,1,10,24.0,30
4,116,1836,5,1446,41.0,57
5,0,10,0,3,,4
6,4,385,1,141,5.0,41
7,2,8,0,3,9.0,32
8,0,11,0,1,,15
9,128,122,0,49,46.0,31
10,17,780,159,813,40.0,52
11,0,9,0,2,,25
12,1,3,0,2,17.0,28
13,1,16,6,2,15.0,11
14,0,25,0,13,,17
15,1,483,0,35,7.0,47
16,0,56,1,34,10.0,35
17,18,1139,6,311,12.0,49
18,0,16,0,1,,33
19,3,7,0,9,31.0,20
20,2,28,0,10,35.0,22
21,1,8,0,6,37.0,10
22,1,264,2,15,20.0,50
23,1,44,0,25,38.0,29
24,3,87,0,6,27.0,38
25,3,24,2,4,25.0,2
26,3,11,0,0,11.0,8
27,0,16,0,1,,7
28,0,28,0,5,,18
29,2,155,1,32,1.0,27
30,4,3,0,5,30.0,24
31,1,20,0,2,22.0,21
32,204,385,2,278,43.0,46
33,1,143,0,8,34.0,34
34,104,2304,5,128,28.0,53
35,0,2,0,0,,9
36,2,20,2,4,4.0,5
37,4,403,1,11,23.0,51
38,3,46,0,45,16.0,16
39,711,11,1,0,47.0,26
40,5,289,2,4,18.0,48
41,0,4,0,0,,1
42,0,34,0,66,,37
43,1,10,0,6,29.0,6
44,0,9,0,3,,58
45,2,9,1,0,6.0,13
46,3,61,0,1,8.0,42
47,3,86,2,16,21.0,36
48,105,225,0,2,42.0,56
49,2,10,0,5,13.0,3
50,71,1541,0,2,44.0,60
51,0,644,1,32,14.0,40
52,0,8,0,447,,59
53,87,1833,2,2265,26.0,54
54,3,86,0,0,19.0,55
55,3,63,29,12,39.0,14
56,0,3,0,0,,19
57,3,20,0,3,36.0,12
58,1,27,0,3,32.0,44
59,5,1003,0,598,2.0,45
