ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860251,0.197636,0.200000,0.326599,2.580752,0.859615
TROW,8,0.822183,0.241803,0.400000,0.287228,6.577468,0.820564
APH,2,0.815812,0.184188,0.400000,0.300000,1.631623,0.815410
GL,5,0.800000,0.244952,0.340000,0.162481,4.000000,0.799015
ZBRA,3,0.778232,0.156835,0.733333,0.047140,2.334695,0.777657
VRSN,4,0.771637,0.230116,0.425000,0.129904,3.086549,0.770877
ROP,2,0.770170,0.229830,0.200000,0.700000,1.540340,0.769791
MKTX,7,0.755520,0.226180,0.257143,0.159079,5.288641,0.754218
AZO,3,0.741245,0.183002,0.000000,0.355903,2.223736,0.740698
LOW,6,0.740341,0.222450,0.200000,0.374166,4.442047,0.739247
AKAM,17,0.735581,0.252559,0.276471,0.338734,12.504874,0.732502
MSI,2,0.703064,0.045962,-0.050000,0.650000,1.406128,0.702718
KMX,3,0.701376,0.211159,-0.433333,0.659966,2.104129,0.700858
PRU,13,0.700741,0.201147,0.415385,0.367625,9.109635,0.698498
INTU,19,0.685719,0.234220,0.207895,0.478557,13.028662,0.682511
IT,15,0.665041,0.280246,0.073333,0.490533,9.975619,0.662585
ORLY,2,0.630594,0.108218,0.300000,0.200000,1.261188,0.630284
TJX,6,0.623135,0.302669,0.333333,0.402768,3.738812,0.622215
TPR,4,0.617645,0.119555,0.550000,0.229129,2.470579,0.617036
ADSK,18,0.604107,0.259905,0.338889,0.521897,10.873921,0.601429
FI,3,0.600230,0.290142,0.066667,0.188562,1.800689,0.599786
STX,4,0.567945,0.272221,0.450000,0.229129,2.271782,0.567386
BKNG,32,0.566639,0.335463,0.315625,0.481605,18.132437,0.562174
MCO,17,0.566484,0.259023,0.405882,0.363756,9.630225,0.564112
NTAP,11,0.550604,0.274218,0.490909,0.435795,6.056643,0.549112
POOL,2,0.536112,0.001513,0.800000,0.000000,1.072224,0.535848
ANSS,16,0.530801,0.347325,0.593750,0.349050,8.492820,0.528710
SPGI,7,0.515883,0.218994,0.471429,0.376883,3.611179,0.514994
