num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.634448,0.133029,0.500000,0.000000
10,15,0.429409,0.317465,0.560000,0.380876
8,33,0.374927,0.243089,0.175758,0.578415
11,2,0.318624,0.120227,0.000000,0.800000
9,8,0.276266,0.117204,0.787500,0.033072
7,46,0.247551,0.218307,0.380435,0.497655
5,470,0.136731,0.198430,0.355745,0.456722
3,3358,0.134135,0.229745,0.301608,0.459966
6,235,0.123522,0.179656,0.214894,0.521201
2,6349,0.118363,0.239962,0.312947,0.461822
4,1557,0.104537,0.182288,0.270546,0.468577
1,13844,0.009047,0.022764,0.336914,0.507580
