num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.623189,0.144300,0.500000,0.000000
10,15,0.423835,0.318408,0.560000,0.380876
8,33,0.383166,0.242937,0.175758,0.578415
11,2,0.312827,0.111146,0.000000,0.800000
9,8,0.288152,0.123740,0.787500,0.033072
7,46,0.253665,0.225800,0.380435,0.497655
5,470,0.137999,0.199093,0.355745,0.456722
3,3358,0.134032,0.229636,0.301608,0.459966
6,235,0.124812,0.180962,0.214894,0.521201
2,6349,0.117545,0.239587,0.312947,0.461822
4,1557,0.104814,0.183180,0.270546,0.468577
1,13844,0.008941,0.022536,0.336914,0.507580
