ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860160,0.197764,0.200000,0.326599,2.580480,0.859524
TROW,8,0.822036,0.245056,0.400000,0.287228,6.576288,0.820417
APH,2,0.813886,0.186114,0.400000,0.300000,1.627771,0.813485
GL,5,0.800000,0.244992,0.340000,0.162481,4.000000,0.799015
ROP,2,0.770702,0.229298,0.200000,0.700000,1.541404,0.770322
VRSN,4,0.761973,0.239792,0.425000,0.129904,3.047891,0.761222
MKTX,7,0.757433,0.227575,0.257143,0.159079,5.302033,0.756128
LOW,6,0.748394,0.212257,0.200000,0.374166,4.490363,0.747288
AZO,3,0.742258,0.182253,0.000000,0.355903,2.226775,0.741710
ZBRA,3,0.741311,0.184999,0.733333,0.047140,2.223932,0.740763
AKAM,17,0.734522,0.253150,0.276471,0.338734,12.486870,0.731447
MSI,2,0.720479,0.041947,-0.050000,0.650000,1.440958,0.720124
PRU,13,0.700912,0.202282,0.415385,0.367625,9.111851,0.698668
KMX,3,0.696952,0.214288,-0.433333,0.659966,2.090855,0.696437
INTU,19,0.687966,0.229170,0.207895,0.478557,13.071352,0.684747
IT,15,0.665800,0.280160,0.073333,0.490533,9.986994,0.663340
TJX,6,0.629004,0.305379,0.333333,0.402768,3.774024,0.628075
TPR,4,0.616734,0.120454,0.550000,0.229129,2.466936,0.616126
ORLY,2,0.612988,0.161037,0.300000,0.200000,1.225976,0.612686
FI,3,0.607092,0.292782,0.066667,0.188562,1.821277,0.606644
ADSK,18,0.598042,0.264579,0.338889,0.521897,10.764761,0.595392
MCO,17,0.567136,0.257174,0.405882,0.363756,9.641319,0.564762
STX,4,0.566584,0.271313,0.450000,0.229129,2.266338,0.566026
BKNG,32,0.565539,0.335924,0.315625,0.481605,18.097255,0.561083
NTAP,11,0.546930,0.285966,0.490909,0.435795,6.016228,0.545448
POOL,2,0.536114,0.005797,0.800000,0.000000,1.072227,0.535850
ANSS,16,0.531652,0.348710,0.593750,0.349050,8.506432,0.529557
SPGI,7,0.516484,0.219104,0.471429,0.376883,3.615390,0.515594
