cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,70,0,17,29.0,27
1,4,498,0,46,4.0,37
2,15,1184,0,397,17.0,45
3,0,13,0,11,,30
4,109,1840,0,1452,37.0,58
5,0,11,0,3,,7
6,2,431,1,143,1.0,42
7,0,9,0,5,,26
8,0,11,0,1,,14
9,126,126,0,48,39.0,33
10,17,946,1,814,7.0,52
11,0,10,0,2,,31
12,0,5,0,2,,25
13,1,13,5,2,12.0,5
14,0,26,0,13,,17
15,4,485,0,36,20.0,47
16,0,57,1,33,9.0,35
17,10,1072,4,305,15.0,48
18,0,15,0,1,,32
19,3,8,0,9,27.0,21
20,2,25,0,10,30.0,19
21,1,5,0,6,31.0,4
22,1,262,2,15,18.0,50
23,1,45,0,30,33.0,29
24,3,87,0,6,22.0,38
25,3,24,2,4,21.0,2
26,3,13,0,0,13.0,11
27,0,16,0,1,,8
28,1,34,0,7,24.0,20
29,0,154,0,32,,24
30,4,3,0,5,26.0,28
31,0,21,0,2,,18
32,200,386,1,285,38.0,44
33,2,143,0,8,28.0,34
34,20,2307,0,211,11.0,53
35,0,2,0,0,,10
36,2,21,1,3,2.0,6
37,1,400,1,11,10.0,51
38,1,47,0,45,8.0,16
39,711,10,1,0,40.0,22
40,6,292,1,4,19.0,49
41,0,5,0,0,,1
42,0,53,0,65,,39
43,1,12,0,6,25.0,9
44,0,10,0,3,,57
45,2,10,0,0,5.0,12
46,3,63,0,2,6.0,41
47,2,88,2,16,14.0,36
48,105,223,0,3,35.0,56
49,0,9,0,7,,3
50,69,1540,0,4,36.0,60
51,0,650,0,34,,40
52,0,8,0,448,,59
53,82,1827,1,2270,23.0,54
54,3,86,0,0,16.0,55
55,4,65,29,14,34.0,13
56,0,4,0,0,,23
57,3,22,0,3,32.0,15
58,0,30,0,4,,43
59,5,997,0,601,3.0,46
