cluster_id,positive_samples,negative_samples,total_samples,positive_percentage,negative_percentage,enrichment_ratio
30,9,3,12,11.25,2.727272727272727,4.125
5,27,11,38,33.75,10.0,3.375
54,9,5,14,11.25,4.545454545454546,2.4749999999999996
39,34,23,57,42.5,20.909090909090907,2.0326086956521743
13,30,24,54,37.5,21.818181818181817,1.7187500000000002
46,36,29,65,45.0,26.36363636363636,1.7068965517241381
28,34,29,63,42.5,26.36363636363636,1.6120689655172415
24,29,25,54,36.25,22.727272727272727,1.595
25,44,38,82,55.00000000000001,34.54545454545455,1.592105263157895
12,9,8,17,11.25,7.2727272727272725,1.546875
8,16,15,31,20.0,13.636363636363635,1.4666666666666668
43,17,16,33,21.25,14.545454545454545,1.4609375
49,18,17,35,22.5,15.454545454545453,1.4558823529411766
22,44,44,88,55.00000000000001,40.0,1.3750000000000002
23,52,53,105,65.0,48.18181818181818,1.349056603773585
38,49,50,99,61.25000000000001,45.45454545454545,1.3475000000000001
7,21,22,43,26.25,20.0,1.3125
55,40,42,82,50.0,38.18181818181819,1.3095238095238093
19,19,21,40,23.75,19.090909090909093,1.2440476190476188
31,43,48,91,53.75,43.63636363636363,1.2317708333333335
40,50,56,106,62.5,50.90909090909091,1.2276785714285714
20,32,36,68,40.0,32.72727272727273,1.2222222222222223
58,23,27,50,28.749999999999996,24.545454545454547,1.171296296296296
1,59,70,129,73.75,63.63636363636363,1.1589285714285715
9,73,87,160,91.25,79.0909090909091,1.153735632183908
10,65,78,143,81.25,70.9090909090909,1.1458333333333335
57,29,35,64,36.25,31.818181818181817,1.1392857142857142
47,45,55,100,56.25,50.0,1.125
59,53,65,118,66.25,59.09090909090909,1.1211538461538462
32,73,91,164,91.25,82.72727272727273,1.1030219780219779
37,56,70,126,70.0,63.63636363636363,1.1
35,4,5,9,5.0,4.545454545454546,1.0999999999999999
53,77,97,174,96.25,88.18181818181819,1.0914948453608246
34,65,83,148,81.25,75.45454545454545,1.0768072289156627
0,50,64,114,62.5,58.18181818181818,1.07421875
29,48,62,110,60.0,56.36363636363636,1.0645161290322582
33,45,60,105,56.25,54.54545454545454,1.03125
36,38,52,90,47.5,47.27272727272727,1.0048076923076923
18,24,33,57,30.0,30.0,1.0
17,79,109,188,98.75,99.0909090909091,0.9965596330275229
14,20,28,48,25.0,25.454545454545453,0.9821428571428572
41,5,7,12,6.25,6.363636363636363,0.9821428571428572
2,62,88,150,77.5,80.0,0.96875
51,47,67,114,58.75,60.909090909090914,0.9645522388059701
42,28,40,68,35.0,36.36363636363637,0.9624999999999999
4,62,89,151,77.5,80.9090909090909,0.9578651685393259
48,16,23,39,20.0,20.909090909090907,0.9565217391304349
16,21,31,52,26.25,28.18181818181818,0.9314516129032259
50,26,39,65,32.5,35.45454545454545,0.9166666666666667
44,33,50,83,41.25,45.45454545454545,0.9075
21,20,32,52,25.0,29.09090909090909,0.859375
45,8,13,21,10.0,11.818181818181818,0.8461538461538461
27,8,13,21,10.0,11.818181818181818,0.8461538461538461
15,43,71,114,53.75,64.54545454545455,0.8327464788732394
52,13,22,35,16.25,20.0,0.8125
3,21,36,57,26.25,32.72727272727273,0.8020833333333334
11,15,26,41,18.75,23.636363636363637,0.7932692307692307
56,4,7,11,5.0,6.363636363636363,0.7857142857142858
6,45,79,124,56.25,71.81818181818181,0.7832278481012659
26,15,28,43,18.75,25.454545454545453,0.7366071428571429
