ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.860267,0.197612,0.200000,0.326599,2.580801,0.859632
APH,2,0.818020,0.181980,0.400000,0.300000,1.636040,0.817617
TROW,8,0.816552,0.245829,0.400000,0.287228,6.532416,0.814943
GL,5,0.800000,0.244969,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.792089,0.210915,0.425000,0.129904,3.168356,0.791309
ZBRA,3,0.771820,0.161377,0.733333,0.047140,2.315460,0.771250
ROP,2,0.762845,0.237155,0.200000,0.700000,1.525690,0.762469
AZO,3,0.758530,0.170890,0.000000,0.355903,2.275591,0.757970
MKTX,7,0.754621,0.226362,0.257143,0.159079,5.282349,0.753321
LOW,6,0.750594,0.216320,0.200000,0.374166,4.503562,0.749485
AKAM,17,0.738559,0.249731,0.276471,0.338734,12.555503,0.735467
MSI,2,0.714437,0.053171,-0.050000,0.650000,1.428874,0.714085
KMX,3,0.703956,0.209336,-0.433333,0.659966,2.111869,0.703436
PRU,13,0.701743,0.201646,0.415385,0.367625,9.122654,0.699496
INTU,19,0.687759,0.229769,0.207895,0.478557,13.067417,0.684541
IT,15,0.665377,0.280187,0.073333,0.490533,9.980653,0.662919
TJX,6,0.627525,0.304431,0.333333,0.402768,3.765149,0.626598
TPR,4,0.618286,0.122160,0.550000,0.229129,2.473144,0.617677
ORLY,2,0.617425,0.147724,0.300000,0.200000,1.234851,0.617121
FI,3,0.601179,0.292824,0.066667,0.188562,1.803538,0.600735
ADSK,18,0.600646,0.262839,0.338889,0.521897,10.811621,0.597983
STX,4,0.572829,0.272635,0.450000,0.229129,2.291315,0.572265
BKNG,32,0.569942,0.334758,0.315625,0.481605,18.238132,0.565451
MCO,17,0.563847,0.264057,0.405882,0.363756,9.585392,0.561486
NTAP,11,0.546410,0.280584,0.490909,0.435795,6.010508,0.544930
POOL,2,0.539573,0.008311,0.800000,0.000000,1.079146,0.539307
ANSS,16,0.535245,0.345154,0.593750,0.349050,8.563926,0.533137
SPGI,7,0.515155,0.218935,0.471429,0.376883,3.606086,0.514267
