cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,0,84,0,16,,32
1,4,529,0,47,7.0,39
2,4,1181,5,412,10.0,43
3,0,11,0,11,,28
4,106,1843,0,1452,40.0,57
5,1,8,1,2,24.0,3
6,3,436,2,143,3.0,41
7,0,8,0,5,,23
8,0,10,0,1,,13
9,128,111,2,50,39.0,33
10,10,935,2,818,4.0,52
11,0,10,0,2,,29
12,0,3,0,2,,17
13,1,16,11,2,19.0,7
14,0,26,0,13,,16
15,1,484,3,37,18.0,48
16,1,56,1,34,16.0,35
17,14,985,27,302,25.0,47
18,0,16,0,1,,31
19,1,9,0,10,28.0,22
20,1,25,0,11,29.0,20
21,1,7,0,6,33.0,6
22,3,260,3,13,9.0,51
23,3,43,0,28,30.0,24
24,1,89,0,7,31.0,38
25,3,22,4,3,22.0,2
26,3,13,0,0,13.0,12
27,0,38,0,1,,30
28,1,31,0,5,21.0,18
29,0,175,0,31,,27
30,5,3,0,5,27.0,26
31,0,18,2,3,34.0,19
32,196,381,4,291,41.0,42
33,1,141,0,8,26.0,34
34,20,2295,18,217,17.0,53
35,0,2,0,0,,8
36,2,26,1,4,2.0,10
37,1,403,0,10,6.0,50
38,36,42,3,11,35.0,4
39,711,12,0,0,42.0,25
40,5,290,5,5,20.0,49
41,0,4,0,0,,1
42,0,34,0,66,,36
43,4,5,4,3,11.0,9
44,0,10,0,3,,58
45,2,10,0,0,8.0,11
46,1,61,2,2,1.0,45
47,4,85,0,15,14.0,37
48,105,222,0,2,37.0,56
49,0,10,0,7,,5
50,69,1543,0,4,38.0,60
51,0,655,0,33,,40
52,0,6,0,447,,59
53,86,1816,4,2266,23.0,54
54,3,86,0,0,15.0,55
55,3,69,29,11,36.0,15
56,0,4,0,0,,21
57,3,22,0,3,32.0,14
58,1,28,1,2,12.0,46
59,7,999,2,600,5.0,44
