model_name,graph_batch,g_index,logit,prob,rank,fact_index,influence
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,1,0,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,2,1,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,3,2,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,4,3,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,5,4,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,6,5,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,7,6,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,8,7,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,9,8,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,10,9,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,11,10,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,12,11,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,13,12,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,14,13,1.0
20250818_180036,0,0,0.2919823229312897,0.5724813342094421,15,14,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,1,0,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,2,1,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,3,2,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,4,3,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,5,4,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,6,5,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,7,6,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,8,7,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,9,8,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,10,9,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,11,10,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,12,11,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,13,12,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,14,13,1.0
20250818_180036,1,0,0.36048951745033264,0.5891589522361755,15,14,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,1,0,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,2,1,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,3,2,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,4,3,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,5,4,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,6,5,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,7,6,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,8,7,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,9,8,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,10,9,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,11,10,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,12,11,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,13,12,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,14,13,1.0
20250818_180036,2,0,0.35448014736175537,0.5877035856246948,15,14,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,1,0,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,2,1,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,3,2,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,4,3,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,5,4,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,6,5,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,7,6,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,8,7,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,9,8,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,10,9,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,11,10,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,12,11,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,13,12,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,14,13,1.0
20250818_180036,3,0,0.37052321434020996,0.5915853977203369,15,14,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,1,0,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,2,1,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,3,2,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,4,3,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,5,4,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,6,5,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,7,6,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,8,7,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,9,8,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,10,9,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,11,10,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,12,11,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,13,12,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,14,13,1.0
20250818_180036,4,0,0.3589341938495636,0.5887824296951294,15,14,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,1,0,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,2,1,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,3,2,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,4,3,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,5,4,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,6,5,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,7,6,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,8,7,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,9,8,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,10,9,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,11,10,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,12,11,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,13,12,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,14,13,1.0
20250818_180036,5,0,0.30839037895202637,0.5764923095703125,15,14,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,1,0,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,2,1,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,3,2,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,4,3,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,5,4,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,6,5,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,7,6,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,8,7,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,9,8,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,10,9,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,11,10,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,12,11,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,13,12,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,14,13,1.0
20250818_180036,6,0,0.3594517707824707,0.5889077186584473,15,14,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,1,0,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,2,1,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,3,2,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,4,3,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,5,4,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,6,5,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,7,6,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,8,7,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,9,8,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,10,9,1.0
20250818_180036,7,0,0.3790243864059448,0.5936377644538879,11,10,1.0
